"problem-date-column","coder-color","problem-luck-column","nowrap","tag","tag 2","tag 3","tag 4","tag 5"
"July 1, 2025","513","99.78%","Blackboard Game","math","","","",""
"July 1, 2025","768","99.06%","Tournament","greedy","","","",""
"July 1, 2025","905","97.95%","Prefix Min and Suffix Max","brute force","data structures","","",""
"July 1, 2025","1259","86.18%","Binary String Battle","constructive algorithms","games","greedy","",""
"July 1, 2025","1470","64.93%","MEX Count","binary search","data structures","greedy","sortings","two pointers"
"July 1, 2025","1702","32.75%","Minimize Fixed Points","constructive algorithms","number theory","","",""
"July 1, 2025","2203","2.65%","Modular Sorting","brute force","data structures","greedy","math","number theory"
"June 23, 2025","499","99.80%","Race","implementation","math","","",""
"June 23, 2025","1092","94.22%","Shrinking Array","brute force","greedy","","",""
"June 23, 2025","1244","87.18%","Coloring Game","binary search","brute force","greedy","two pointers",""
"June 23, 2025","1701","32.88%","Reachability and Tree","constructive algorithms","dfs and similar","graphs","trees",""
"June 23, 2025","2145","3.66%","Tree Colorings","combinatorics","dfs and similar","dp","graphs","math"
"June 23, 2025","2764","0.11%","Variables and Operations","graphs","greedy","shortest paths","",""
"June 21, 2025","763","99.09%","Square of Rectangles","geometry","math","","",""
"June 21, 2025","910","97.89%","Square Pool","geometry","","","",""
"June 21, 2025","1345","79.17%","Divine Tree","constructive algorithms","greedy","math","sortings","trees"
"June 21, 2025","1751","26.86%","Matrix game","combinatorics","math","","",""
"June 21, 2025","2192","2.82%","Lanes of Cars","binary search","dp","ternary search","",""
"June 21, 2025","2661","0.19%","Superb Graphs","2-sat","graphs","","",""
"June 21, 2025","3455","0.00%","Eulerian Line Graph","graphs","greedy","math","",""
"June 17, 2025","389","99.89%","Letter Home","brute force","math","","",""
"June 17, 2025","666","99.47%","Above the Clouds","constructive algorithms","greedy","strings","",""
"June 17, 2025","1217","88.82%","Those Who Are With Us","greedy","implementation","","",""
"June 17, 2025","1318","81.62%","1709","implementation","sortings","","",""
"June 17, 2025","1481","63.47%","Sponsor of Your Problems","dp","greedy","implementation","strings",""
"June 17, 2025","1820","19.80%","Yamakasi","binary search","brute force","data structures","greedy","two pointers"
"June 17, 2025","1868","15.77%","Gangsta","data structures","divide and conquer","math","sortings",""
"June 17, 2025","2348","1.17%","Ice Baby","binary search","brute force","data structures","dp","implementation"
"June 15, 2025","615","99.61%","Shashliks","greedy","math","","",""
"June 15, 2025","1174","91.05%","Good Start","constructive algorithms","math","","",""
"June 15, 2025","1600","46.69%","Smilo and Minecraft","brute force","constructive algorithms","data structures","dp","greedy"
"June 15, 2025","2189","2.87%","Cheater","binary search","constructive algorithms","data structures","greedy",""
"June 15, 2025","2578","0.31%","Two Arrays","constructive algorithms","dfs and similar","graphs","math",""
"June 15, 2025","2961","0.03%","From Kazan with Love","dfs and similar","graphs","implementation","trees",""
"June 12, 2025","526","99.76%","Equal Subsequences","constructive algorithms","greedy","","",""
"June 12, 2025","1199","89.81%","Make It Permutation","constructive algorithms","","","",""
"June 12, 2025","1236","87.69%","Make It Beautiful","bitmasks","data structures","greedy","math",""
"June 12, 2025","1726","29.78%","Red Light, Green Light (Easy version)","brute force","dfs and similar","dp","graphs","implementation"
"June 12, 2025","2250","2.04%","Red Light, Green Light (Hard version)","binary search","brute force","data structures","dfs and similar","dp"
"June 12, 2025","2334","1.26%","Grid Coloring","constructive algorithms","greedy","","",""
"June 12, 2025","3166","0.01%","Shifts and Swaps","data structures","graphs","hashing","trees",""
"June 8, 2025","462","99.84%","False Alarm","greedy","implementation","","",""
"June 8, 2025","659","99.50%","Shrink","constructive algorithms","","","",""
"June 8, 2025","1167","91.37%","Retaliation","binary search","math","number theory","",""
"June 8, 2025","1240","87.43%","Cool Partition","data structures","greedy","","",""
"June 8, 2025","1606","45.84%","Lost Soul","brute force","greedy","","",""
"June 8, 2025","1935","11.30%","Wildflower","combinatorics","dfs and similar","trees","",""
"June 8, 2025","2038","6.58%","Omg Graph","brute force","dsu","graphs","greedy","shortest paths"
"June 8, 2025","2691","0.16%","Incessant Rain","data structures","divide and conquer","sortings","",""
"June 3, 2025","705","99.34%","Energy Crystals","greedy","implementation","math","",""
"June 3, 2025","1053","95.33%","Equal Values","brute force","greedy","two pointers","",""
"June 3, 2025","1064","95.04%","Fibonacci Cubes","brute force","dp","implementation","math",""
"June 3, 2025","1400","73.48%","Creating a Schedule","constructive algorithms","data structures","greedy","implementation","sortings"
"June 3, 2025","1943","10.84%","Changing the String","binary search","data structures","greedy","implementation","sortings"
"June 3, 2025","2413","0.81%","Puzzle","brute force","constructive algorithms","greedy","math",""
"June 3, 2025","3014","0.03%","Divisible Subarrays","binary search","bitmasks","brute force","data structures","interactive"
"May 31, 2025","713","99.31%","Gellyfish and Tricolor Pansy","games","greedy","","",""
"May 31, 2025","1234","87.81%","Gellyfish and Baby's Breath","greedy","math","sortings","",""
"May 31, 2025","1453","67.12%","Gellyfish and Flaming Peony","brute force","constructive algorithms","dfs and similar","dp","math"
"May 31, 2025","2161","3.35%","Gellyfish and Camellia Japonica","brute force","constructive algorithms","dfs and similar","dp","graphs"
"May 31, 2025","2764","0.11%","Gellyfish and Eternal Violet","combinatorics","dp","greedy","math","probabilities"
"May 31, 2025","2898","0.05%","Gellyfish and Forget-Me-Not","bitmasks","dp","games","greedy","math"
"May 31, 2025","3584","0.00%","Gellyfish and Mayflower","dp","graphs","","",""
"May 31, 2025","4599","0.00%","Gellyfish and Lycoris Radiata (Easy Version)","data structures","","","",""
"May 31, 2025","4599","0.00%","Gellyfish and Lycoris Radiata (Hard Version)","data structures","","","",""
"May 26, 2025","543","99.74%","Square Year","binary search","brute force","math","",""
"May 26, 2025","889","98.13%","Not Quite a Palindromic String","greedy","math","","",""
"May 26, 2025","899","98.02%","Need More Arrays","dp","greedy","","",""
"May 26, 2025","1416","71.64%","Come a Little Closer","brute force","greedy","implementation","math",""
"May 26, 2025","1473","64.54%","Kirei Attacks the Estate","dfs and similar","dp","greedy","trees",""
"May 26, 2025","2040","6.51%","Small Operations","binary search","brute force","dfs and similar","dp","math"
"May 26, 2025","2404","0.85%","Build an Array","brute force","constructive algorithms","dp","greedy","math"
"May 24, 2025","507","99.79%","Fashionable Array","implementation","sortings","","",""
"May 24, 2025","795","98.90%","Down with Brackets","strings","","","",""
"May 24, 2025","1327","80.83%","Racing","constructive algorithms","greedy","","",""
"May 24, 2025","1720","30.51%","Fewer Batteries","binary search","dfs and similar","dp","graphs","greedy"
"May 24, 2025","2241","2.14%","Melody","dfs and similar","graphs","implementation","",""
"May 24, 2025","2532","0.41%","Faculty","brute force","greedy","math","number theory",""
"May 17, 2025","560","99.71%","It's Time To Duel","implementation","","","",""
"May 17, 2025","1167","91.37%","Slice to Survive","bitmasks","greedy","math","",""
"May 17, 2025","1489","62.40%","Hacking Numbers (Easy Version)","bitmasks","constructive algorithms","interactive","math","number theory"
"May 17, 2025","1723","30.14%","Hacking Numbers (Medium Version)","constructive algorithms","interactive","math","number theory",""
"May 17, 2025","1951","10.41%","D/D/D","dfs and similar","graphs","greedy","shortest paths",""
"May 17, 2025","2428","0.74%","Binary String Wowee","combinatorics","dp","strings","",""
"May 17, 2025","2511","0.46%","Hacking Numbers (Hard Version)","constructive algorithms","interactive","math","number theory",""
"May 17, 2025","3210","0.01%","Penguin Steps","binary search","dfs and similar","flows","graphs","shortest paths"
"May 11, 2025","793","98.92%","Dinner Time","constructive algorithms","math","","",""
"May 11, 2025","821","98.73%","The Picky Cat","implementation","sortings","","",""
"May 11, 2025","1290","83.92%","Mex in the Grid","constructive algorithms","implementation","","",""
"May 11, 2025","1780","23.71%","Quartet Swapping","brute force","data structures","divide and conquer","greedy","sortings"
"May 11, 2025","2278","1.74%","23 Kingdom","binary search","brute force","data structures","greedy","ternary search"
"May 11, 2025","2590","0.29%","Mani and Segments","data structures","greedy","implementation","sortings","two pointers"
"May 11, 2025","3154","0.01%","Kia Bakes a Cake","data structures","dp","greedy","trees",""
"May 11, 2025","3552","0.00%","Shoo Shatters the Sunshine","combinatorics","dp","trees","",""
"May 5, 2025","747","99.17%","LRC and VIP","greedy","number theory","","",""
"May 5, 2025","1082","94.53%","Apples in Boxes","games","greedy","math","",""
"May 5, 2025","1538","55.59%","Maximum Subarray Sum","binary search","constructive algorithms","dp","implementation","math"
"May 5, 2025","2092","4.91%","Apple Tree Traversing","brute force","dfs and similar","greedy","implementation","trees"
"May 5, 2025","2315","1.41%","Cycling (Easy Version)","binary search","brute force","dp","greedy",""
"May 5, 2025","2672","0.18%","Ain and Apple Tree","binary search","constructive algorithms","greedy","math","trees"
"May 5, 2025","2862","0.06%","Cycling (Hard Version)","binary search","brute force","data structures","dp","greedy"
"May 1, 2025","462","99.84%","Permutation Warm-Up","combinatorics","greedy","math","",""
"May 1, 2025","1291","83.84%","SUMdamental Decomposition","bitmasks","constructive algorithms","greedy","implementation","math"
"May 1, 2025","1405","72.91%","Neo's Escape","binary search","brute force","data structures","dp","dsu"
"May 1, 2025","2206","2.61%","Needle in a Numstack","binary search","brute force","implementation","interactive",""
"May 1, 2025","2712","0.15%","Spruce Dispute","constructive algorithms","dfs and similar","graphs","greedy","implementation"
"May 1, 2025","3097","0.02%","Fallen Towers","binary search","greedy","","",""
"April 28, 2025","475","99.82%","Three Decks","math","","","",""
"April 28, 2025","893","98.09%","Move to the End","brute force","data structures","dp","greedy","implementation"
"April 28, 2025","1053","95.33%","Card Game","brute force","constructive algorithms","games","greedy","math"
"April 28, 2025","1401","73.36%","Array and GCD","binary search","greedy","math","number theory",""
"April 28, 2025","1691","34.16%","Unpleasant Strings","binary search","dp","greedy","strings",""
"April 28, 2025","2596","0.28%","Numbers and Strings","binary search","brute force","dfs and similar","dp","implementation"
"April 28, 2025","2742","0.12%","Modulo 3","data structures","divide and conquer","dsu","graphs","trees"
"April 26, 2025","414","99.88%","Vadim's Collection","brute force","greedy","","",""
"April 26, 2025","1312","82.13%","Sasha and the Apartment Purchase","math","sortings","","",""
"April 26, 2025","1368","76.91%","Sports Betting","2-sat","brute force","greedy","math","sortings"
"April 26, 2025","2198","2.73%","Baggage Claim","combinatorics","dfs and similar","dp","dsu","graphs"
"April 26, 2025","2388","0.93%","Bermuda Triangle","chinese remainder theorem","geometry","implementation","math","number theory"
"April 26, 2025","2707","0.15%","Homework","bitmasks","math","matrices","",""
"April 26, 2025","3071","0.02%","Clearing the Snowdrift","data structures","dfs and similar","dp","greedy",""
"April 26, 2025","3458","0.00%","Lost Luggage","dp","flows","","",""
"April 24, 2025","409","99.88%","Dr. TC","brute force","math","","",""
"April 24, 2025","761","99.10%","St. Chroma","constructive algorithms","greedy","math","",""
"April 24, 2025","944","97.45%","Cherry Bomb","greedy","math","sortings","",""
"April 24, 2025","1481","63.47%","Flower Boy","binary search","dp","greedy","two pointers",""
"April 24, 2025","1775","24.24%","Wolf","binary search","greedy","math","",""
"April 24, 2025","1944","10.79%","Goblin","dfs and similar","dp","dsu","greedy","math"
"April 24, 2025","2228","2.30%","Baudelaire (easy version)","binary search","constructive algorithms","divide and conquer","greedy","interactive"
"April 24, 2025","2655","0.20%","Baudelaire (hard version)","binary search","dfs and similar","divide and conquer","implementation","interactive"
"April 21, 2025","471","99.83%","Common Multiple","brute force","greedy","implementation","math",""
"April 21, 2025","1088","94.35%","Binary Typewriter","greedy","math","","",""
"April 21, 2025","1549","54.02%","Median Splits","binary search","greedy","implementation","sortings",""
"April 21, 2025","1951","10.41%","Local Construction","constructive algorithms","dfs and similar","implementation","two pointers",""
"April 21, 2025","2591","0.29%","Maximize Nor","bitmasks","data structures","dp","implementation",""
"April 21, 2025","2802","0.09%","Keep the Sum","constructive algorithms","implementation","two pointers","",""
"April 21, 2025","","","Single-proposal Voting Contract","*special","","","",""
"April 21, 2025","","","Master Contract for Multiple Voting Proposals","*special","","","",""
"April 21, 2025","","","Scalable single-proposal Voting Contract","*special","","","",""
"April 21, 2025","","","Master Contract for Multioting Proposals + Refunds","*special","","","",""
"April 21, 2025","","","Scalable Voting ContractRefunds & gas management","*special","","","",""
"April 19, 2025","671","99.46%","Wonderful Sticks","constructive algorithms","greedy","","",""
"April 19, 2025","1020","96.11%","Wonderful Gloves","greedy","math","sortings","",""
"April 19, 2025","1683","35.20%","Wonderful City","dp","implementation","","",""
"April 19, 2025","1885","14.52%","Wonderful Lightbulbs","combinatorics","constructive algorithms","math","",""
"April 19, 2025","2314","1.42%","Wonderful Teddy Bears","greedy","implementation","sortings","",""
"April 19, 2025","3136","0.01%","Wonderful Guessing Game","bitmasks","constructive algorithms","interactive","",""
"April 19, 2025","3180","0.01%","Wonderful Impostors","data structures","implementation","two pointers","",""
"April 19, 2025","3228","0.01%","Wonderful XOR Problem","bitmasks","combinatorics","dp","fft","math"
"April 13, 2025","373","99.90%","Trippi Troppi","strings","","","",""
"April 13, 2025","819","98.74%","Bobritto Bandito","brute force","constructive algorithms","","",""
"April 13, 2025","867","98.35%","Brr Brrr Patapim","math","","","",""
"April 13, 2025","1138","92.60%","Tung Tung Sahur","greedy","strings","two pointers","",""
"April 13, 2025","1271","85.34%","Boneca Ambalabu","bitmasks","","","",""
"April 13, 2025","1609","45.41%","Trulimero Trulicina","constructive algorithms","","","",""
"April 13, 2025","1773","24.45%","Chimpanzini Bananini","data structures","implementation","math","",""
"April 13, 2025","2068","5.59%","La Vaca Saturno Saturnita","binary search","brute force","math","number theory",""
"April 8, 2025","263","99.95%","Ideal Generator","math","","","",""
"April 8, 2025","816","98.76%","Expensive Number","greedy","math","","",""
"April 8, 2025","889","98.13%","Simple Repetition","math","number theory","","",""
"April 8, 2025","1416","71.64%","Skibidi Table","bitmasks","implementation","","",""
"April 8, 2025","1547","54.31%","Min Max MEX","binary search","brute force","greedy","",""
"April 8, 2025","1775","24.24%","Hackers and Neural Networks","bitmasks","brute force","greedy","",""
"April 8, 2025","2129","4.00%","Shorten the Array","binary search","bitmasks","data structures","dfs and similar","greedy"
"April 7, 2025","","","Password Generator","*special","","","",""
"April 7, 2025","","","Showmatch","*special","","","",""
"April 7, 2025","","","Coin Game","*special","greedy","","",""
"April 7, 2025","","","Uppercase or Lowercase?","*special","interactive","","",""
"April 7, 2025","","","Color the Arrows","*special","dp","","",""
"April 7, 2025","","","Weapon Upgrade","*special","dp","","",""
"April 7, 2025","","","Esports in Berland","*special","greedy","","",""
"April 7, 2025","","","Nim with Special Numbers","*special","","","",""
"April 7, 2025","","","Hamiltonian Partition","*special","","","",""
"April 5, 2025","640","99.55%","Max and Mod","constructive algorithms","math","","",""
"April 5, 2025","968","97.08%","MIN = GCD","greedy","math","number theory","",""
"April 5, 2025","1331","80.47%","You Soared Afar With Grace","constructive algorithms","data structures","greedy","implementation",""
"April 5, 2025","1543","54.88%","Arcology On Permafrost","binary search","brute force","constructive algorithms","greedy","math"
"April 5, 2025","2373","1.01%","Blossom","binary search","combinatorics","implementation","math","two pointers"
"April 5, 2025","2690","0.16%","Wish Upon a Satellite (Easy Version)","dp","games","","",""
"April 5, 2025","2924","0.04%","Skyscape","constructive algorithms","data structures","greedy","",""
"April 5, 2025","3714","0.00%","Wish Upon a Satellite (Hard Version)","data structures","dp","","",""
"April 5, 2025","3761","0.00%","Turtle and Nediam 2","dp","greedy","","",""
"April 3, 2025","0","99.99%","Cloudberry Jam","math","","","",""
"April 3, 2025","1017","96.17%","Large Array and Segments","binary search","brute force","greedy","",""
"April 3, 2025","1217","88.82%","Disappearing Permutation","dfs and similar","dp","dsu","graphs","greedy"
"April 3, 2025","1687","34.68%","Even String","brute force","combinatorics","dp","math","strings"
"April 3, 2025","2412","0.81%","Zebra-like Numbers","bitmasks","brute force","constructive algorithms","dfs and similar","dp"
"April 3, 2025","3395","0.00%","Online Palindrome","brute force","constructive algorithms","interactive","",""
"April 1, 2025","","","Piecing It Together","*special","string suffix structures","","",""
"April 1, 2025","","","Plinko","*special","games","interactive","",""
"April 1, 2025","","","Would It Be Unrated?","*special","binary search","brute force","",""
"April 1, 2025","","","Where Am I?","*special","geometry","","",""
"April 1, 2025","","","Pair Count","*special","number theory","","",""
"April 1, 2025","","","⅓ оf а Рrоblеm","*special","math","","",""
"April 1, 2025","","","Definitely a Geometry Problem","*special","geometry","","",""
"April 1, 2025","","","Blurry Vision","*special","fft","math","",""
"April 1, 2025","","","Mysterious Script","*special","expression parsing","number theory","",""
"April 1, 2025","","","Premiere at a Wrong Time","*special","","","",""
"March 31, 2025","","","Easy Problem","*special","math","","",""
"March 31, 2025","","","Having Been a Treasurer it, I Help Goblins Deceive","*special","combinatorics","constructive algorithms","strings",""
"March 31, 2025","","","Farmer John's Card Game","*special","","","",""
"March 31, 2025","","","Counting Pairs","*special","","","",""
"March 31, 2025","","","Doggo Recoloring","*special","implementation","","",""
"March 31, 2025","","","Kachina's Favorite Binary String","*special","interactive","","",""
"March 31, 2025","","","Ardent Flames","*special","binary search","","",""
"March 29, 2025","460","99.84%","Kamilka and the Sheep","greedy","math","number theory","sortings",""
"March 29, 2025","867","98.35%","Lady Bug","brute force","constructive algorithms","implementation","math",""
"March 29, 2025","1105","93.80%","Asuna and the Mosquitoes","constructive algorithms","greedy","math","",""
"March 29, 2025","1813","20.45%","Mishkin Energizer","brute force","constructive algorithms","greedy","implementation","strings"
"March 29, 2025","2077","5.32%","She knows...","combinatorics","constructive algorithms","graphs","math","number theory"
"March 29, 2025","2956","0.04%","Andryusha and CCB","brute force","constructive algorithms","greedy","math","number theory"
"March 25, 2025","418","99.87%","Olympiad Date","greedy","strings","","",""
"March 25, 2025","659","99.50%","Team Training","dp","greedy","sortings","",""
"March 25, 2025","866","98.36%","Combination Lock","constructive algorithms","greedy","","",""
"March 25, 2025","1115","93.46%","Place of the Olympiad","binary search","greedy","math","",""
"March 25, 2025","1243","87.24%","Interesting Ratio","brute force","math","number theory","two pointers",""
"March 25, 2025","1827","19.17%","Igor and Mountain","binary search","brute force","dp","",""
"March 25, 2025","2455","0.63%","Gleb and Boating","brute force","constructive algorithms","data structures","dp","graphs"
"March 23, 2025","408","99.88%","Treasure Hunt","implementation","math","","",""
"March 23, 2025","843","98.56%","Pushing Balls","brute force","dp","implementation","",""
"March 23, 2025","1604","46.12%","Dining Hall","data structures","greedy","implementation","sortings",""
"March 23, 2025","1703","32.62%","Simple Permutation","constructive algorithms","number theory","","",""
"March 23, 2025","2059","5.87%","Canteen (Easy Version)","binary search","data structures","flows","greedy","math"
"March 23, 2025","2256","1.97%","Key of Like (Easy Version)","combinatorics","dp","games","math","probabilities"
"March 23, 2025","2360","1.09%","Canteen (Hard Version)","binary search","data structures","dp","flows","greedy"
"March 23, 2025","3148","0.01%","Key of Like (Hard Version)","dp","math","probabilities","",""
"March 23, 2025","3404","0.00%","Conditional Operators","constructive algorithms","","","",""
"March 23, 2025","3835","0.00%","Black Cat Collapse","","","","",""
"March 22, 2025","691","99.39%","Serval and String Theory","constructive algorithms","implementation","","",""
"March 22, 2025","1098","94.03%","Serval and Final MEX","constructive algorithms","implementation","","",""
"March 22, 2025","1510","59.52%","Serval and The Formula","bitmasks","constructive algorithms","dp","greedy",""
"March 22, 2025","2004","7.89%","Serval and Kaitenzushi Buffet","data structures","graph matchings","greedy","",""
"March 22, 2025","2132","3.94%","Serval and Modulo","constructive algorithms","math","number theory","",""
"March 22, 2025","2617","0.25%","Serval and Colorful Array (Easy Version)","data structures","greedy","","",""
"March 22, 2025","2916","0.04%","Serval and Colorful Array (Hard Version)","data structures","greedy","","",""
"March 17, 2025","455","99.84%","To Zero","greedy","math","","",""
"March 17, 2025","1292","83.76%","Array Recoloring","constructive algorithms","greedy","","",""
"March 17, 2025","1394","74.14%","Two Colors","binary search","combinatorics","math","",""
"March 17, 2025","1961","9.88%","Equalization","bitmasks","brute force","dp","graphs","math"
"March 17, 2025","2392","0.91%","XOR Matrix","bitmasks","combinatorics","dp","implementation","math"
"March 17, 2025","2820","0.08%","Beautiful Sequence Returns","binary search","brute force","data structures","implementation",""
"March 15, 2025","883","98.19%","Binary Matrix","greedy","","","",""
"March 15, 2025","1552","53.59%","Floor or Ceil","brute force","greedy","","",""
"March 15, 2025","1821","19.71%","Math Division","bitmasks","dp","math","probabilities",""
"March 15, 2025","2501","0.49%","MST in Modulo Graph","constructive algorithms","dsu","graphs","greedy","math"
"March 15, 2025","2572","0.32%","Balancing","greedy","","","",""
"March 15, 2025","2719","0.14%","Quaternary Matrix","bitmasks","constructive algorithms","greedy","implementation","matrices"
"March 15, 2025","3135","0.01%","Hard Formula","math","","","",""
"March 15, 2025","3274","0.01%","Hot Matrix","constructive algorithms","math","","",""
"March 15, 2025","3493","0.00%","Hard Formula (Hard Version)","math","","","",""
"March 15, 2025","3638","0.00%","Quantifier","combinatorics","dp","implementation","",""
"March 11, 2025","395","99.89%","Draw a Square","geometry","implementation","","",""
"March 11, 2025","563","99.71%","The Third Side","geometry","greedy","math","",""
"March 11, 2025","1076","94.70%","XOR and Triangle","bitmasks","brute force","geometry","greedy","probabilities"
"March 11, 2025","1503","60.49%","Counting Points","brute force","data structures","geometry","implementation","two pointers"
"March 11, 2025","1685","34.94%","Empty Triangle","geometry","interactive","probabilities","",""
"March 11, 2025","2034","6.72%","Counting Necessary Nodes","bitmasks","divide and conquer","geometry","greedy","implementation"
"March 11, 2025","2287","1.65%","Game With Triangles: Season 2","dp","geometry","","",""
"March 10, 2025","679","99.43%","Final Verdict","math","","","",""
"March 10, 2025","990","96.70%","Vicious Labyrinth","constructive algorithms","graphs","greedy","implementation","math"
"March 10, 2025","1806","21.11%","Scammy Game Ad","dp","greedy","implementation","",""
"March 10, 2025","1498","61.18%","Breach of Faith","constructive algorithms","greedy","math","probabilities","sortings"
"March 10, 2025","2030","6.86%","Finding OR Sum","bitmasks","constructive algorithms","implementation","interactive","math"
"March 10, 2025","2276","1.76%","Binary Subsequence Value Sum","combinatorics","data structures","dp","fft","math"
"March 10, 2025","2727","0.13%","Another Folding Strip","combinatorics","constructive algorithms","data structures","divide and conquer","dp"
"March 10, 2025","3120","0.01%","Maximum Polygon","brute force","data structures","greedy","implementation","math"
"March 10, 2025","3346","0.00%","AND x OR","bitmasks","constructive algorithms","dp","",""
"March 10, 2025","3685","0.00%","RGB Walking","bitmasks","chinese remainder theorem","dfs and similar","graphs","number theory"
"March 10, 2025","","","Strong Connectivity Strikes Back","*special","constructive algorithms","graphs","",""
"March 10, 2025","","","Best Runner","*special","","","",""
"March 10, 2025","","","Card Flip","*special","","","",""
"March 10, 2025","","","Order Statistics","*special","binary search","","",""
"March 7, 2025","","","Alice, Bob, And Two Arrays","*special","data structures","dp","games",""
"March 7, 2025","","","Arithmetic Exercise","*special","data structures","dp","greedy",""
"March 7, 2025","","","Dreaming Is Not Harmful","*special","","","",""
"March 7, 2025","","","Cute Subsequences","*special","sortings","","",""
"March 2, 2025","1856","16.71%","The Ultimate Wine Tasting Event","combinatorics","greedy","","",""
"March 2, 2025","1934","11.35%","Ads","binary search","greedy","two pointers","",""
"March 2, 2025","2022","7.16%","Mascot Naming","brute force","greedy","implementation","strings",""
"March 2, 2025","2318","1.38%","Condorcet Elections","constructive algorithms","graphs","greedy","probabilities",""
"March 2, 2025","2713","0.14%","Statues","constructive algorithms","greedy","math","",""
"March 2, 2025","2829","0.07%","Porto Vs. Benfica","data structures","dfs and similar","dsu","graphs","shortest paths"
"March 2, 2025","3129","0.01%","Morse Code","dp","sortings","trees","",""
"March 2, 2025","3161","0.01%","Amusement Park Rides","flows","graphs","","",""
"March 2, 2025","3195","0.01%","Urban Planning","constructive algorithms","","","",""
"March 2, 2025","3746","0.00%","A Very Long Hike","shortest paths","","","",""
"March 2, 2025","3849","0.00%","Pinball","graphs","shortest paths","","",""
"March 1, 2025","1429","70.10%","Boarding Queue","","","","",""
"March 1, 2025","1806","21.11%","Control Towers","","","","",""
"March 1, 2025","1945","10.73%","Gathering Sharks","","","","",""
"March 1, 2025","2158","3.41%","Corrupted File","","","","",""
"March 1, 2025","2378","0.98%","Tower of Hanoi","","","","",""
"March 1, 2025","2727","0.13%","Cactus Connectivity","","","","",""
"March 1, 2025","2831","0.07%","Secret Lilies and Roses","interactive","","","",""
"March 1, 2025","2901","0.05%","Book Sorting","","","","",""
