"problem-date-column","coder-color","problem-luck-column","nowrap","tag","tag 2","tag 3","tag 4","tag 5"
"March 1, 2025","3250","0.01%","Squares on Grid Lines","","","","",""
"March 1, 2025","3441","0.00%","Minus Operator","interactive","","","",""
"March 1, 2025","3542","0.00%","Can You Reach There?","","","","",""
"March 1, 2025","4260","0.00%","Three-Dimensional Embedding","","","","",""
"March 1, 2025","4260","0.00%","Hold the Star","","","","",""
"Feb. 28, 2025","311","99.93%","The Play Never Ends","math","number theory","","",""
"Feb. 28, 2025","1043","95.58%","Perfecto","brute force","constructive algorithms","greedy","math",""
"Feb. 28, 2025","1626","42.99%","Trapmigiano Reggiano","constructive algorithms","data structures","dfs and similar","dp","greedy"
"Feb. 28, 2025","1755","26.41%","Infinite Sequence (Easy Version)","bitmasks","brute force","dp","implementation","math"
"Feb. 28, 2025","2405","0.84%","Infinite Sequence (Hard Version)","bitmasks","brute force","constructive algorithms","data structures","dp"
"Feb. 28, 2025","2708","0.15%","LeaFall","combinatorics","dp","probabilities","trees",""
"Feb. 28, 2025","3004","0.03%","Towering Arrays","binary search","data structures","","",""
"Feb. 27, 2025","586","99.67%","FizzBuzz Remixed","brute force","math","","",""
"Feb. 27, 2025","1001","96.50%","Robot Program","brute force","implementation","math","",""
"Feb. 27, 2025","1465","65.58%","Limited Repainting","binary search","greedy","","",""
"Feb. 27, 2025","1602","46.41%","Tree Jumps","dfs and similar","dp","trees","",""
"Feb. 27, 2025","2276","1.76%","Game with Binary String","constructive algorithms","data structures","divide and conquer","games","greedy"
"Feb. 27, 2025","2991","0.03%","Friends and Pizza","bitmasks","divide and conquer","dp","fft",""
"Feb. 25, 2025","401","99.89%","New World, New Me, New Array","greedy","implementation","math","",""
"Feb. 25, 2025","834","98.63%","Having Been a Treasurer it, I Help Goblins Deceive","combinatorics","constructive algorithms","strings","",""
"Feb. 25, 2025","1245","87.11%","Creating Keys for StORageHas Become My Main Skill","bitmasks","constructive algorithms","greedy","",""
"Feb. 25, 2025","1287","84.15%","For Wizards, the Exam Isbut I Couldn't Handle It","brute force","greedy","implementation","",""
"Feb. 25, 2025","1510","59.52%","Do You Love Your Hero andHit Multi-Target Attacks?","binary search","brute force","constructive algorithms","dp","geometry"
"Feb. 25, 2025","1704","32.50%","Goodbye, Banker Life","2-sat","bitmasks","combinatorics","constructive algorithms","fft"
"Feb. 25, 2025","2182","2.98%","I've Been Flipping Numberrs and Calculated the Sum","binary search","brute force","combinatorics","divide and conquer","math"
"Feb. 18, 2025","653","99.51%","Was there an Array?","graph matchings","greedy","","",""
"Feb. 18, 2025","1170","91.24%","Set of Strangers","greedy","matrices","","",""
"Feb. 18, 2025","1483","63.21%","Beautiful Sequence","combinatorics","dp","greedy","two pointers",""
"Feb. 18, 2025","1847","17.45%","Palindrome Shuffle","binary search","greedy","hashing","strings","two pointers"
"Feb. 18, 2025","2351","1.15%","A, B, AB and BA","constructive algorithms","greedy","sortings","strings",""
"Feb. 18, 2025","2787","0.09%","Graph Inclusion","data structures","dfs and similar","divide and conquer","dsu","graphs"
"Feb. 16, 2025","475","99.82%","Brogramming Contest","greedy","strings","","",""
"Feb. 16, 2025","1087","94.38%","Variety is Discouraged","binary search","constructive algorithms","greedy","two pointers",""
"Feb. 16, 2025","1281","84.60%","Remove the Ends","brute force","constructive algorithms","dp","greedy",""
"Feb. 16, 2025","1867","15.85%","Eating","binary search","bitmasks","brute force","data structures","dp"
"Feb. 16, 2025","2420","0.77%","Mycraft Sand Sort","combinatorics","data structures","dsu","greedy","math"
"Feb. 16, 2025","2771","0.10%","We Be Summing","binary search","data structures","dp","two pointers",""
"Feb. 11, 2025","754","99.13%","Adjacent Digit Sums","brute force","constructive algorithms","math","",""
"Feb. 11, 2025","1186","90.47%","Two Large Bags","brute force","dp","greedy","sortings",""
"Feb. 11, 2025","1450","67.50%","Devyatkino","brute force","dfs and similar","greedy","math",""
"Feb. 11, 2025","1855","16.79%","Object Identification","constructive algorithms","graphs","greedy","implementation","interactive"
"Feb. 11, 2025","2033","6.76%","White Magic","constructive algorithms","data structures","dp","greedy","implementation"
"Feb. 11, 2025","2309","1.46%","Bitwise Slides","bitmasks","combinatorics","data structures","dp","math"
"Feb. 11, 2025","2375","1.00%","Club of Young Aircraft Builders (easy version)","combinatorics","dp","math","",""
"Feb. 11, 2025","2933","0.04%","Club of Young Aircraft Builders (hard version)","combinatorics","dp","math","",""
"Feb. 11, 2025","3250","0.01%","Tropical Season","binary search","data structures","greedy","implementation",""
"Feb. 11, 2025","4053","0.00%","Curse","constructive algorithms","dp","math","",""
"Feb. 9, 2025","163","99.97%","Skibidus and Amog'u","brute force","constructive algorithms","greedy","implementation","strings"
"Feb. 9, 2025","678","99.44%","Skibidus and Ohio","strings","","","",""
"Feb. 9, 2025","1043","95.58%","Skibidus and Fanum Tax (easy version)","binary search","dp","greedy","",""
"Feb. 9, 2025","1219","88.70%","Skibidus and Sigma","sortings","","","",""
"Feb. 9, 2025","1304","82.80%","Skibidus and Fanum Tax (hard version)","binary search","greedy","","",""
"Feb. 9, 2025","1595","47.41%","Skibidus and Rizz","constructive algorithms","greedy","strings","",""
"Feb. 9, 2025","1787","22.99%","Skibidus and Slay","data structures","dfs and similar","graphs","greedy","trees"
"Feb. 9, 2025","1883","14.66%","Skibidus and Capping","combinatorics","math","number theory","",""
"Feb. 9, 2025","2142","3.72%","Bro Thinks He's Him","combinatorics","data structures","divide and conquer","dp","math"
"Feb. 2, 2025","394","99.89%","Milya and Two Arrays","constructive algorithms","greedy","sortings","",""
"Feb. 2, 2025","1225","88.35%","Cost of the Array","brute force","constructive algorithms","greedy","math",""
"Feb. 2, 2025","1557","52.88%","Customer Service","brute force","constructive algorithms","graph matchings","greedy","math"
"Feb. 2, 2025","1814","20.35%","Graph and Graph","data structures","graphs","greedy","shortest paths",""
"Feb. 2, 2025","2556","0.36%","Stop Gaming (Easy Version)","brute force","constructive algorithms","greedy","hashing","strings"
"Feb. 2, 2025","2995","0.03%","Stop Gaming (Hard Version)","brute force","constructive algorithms","data structures","hashing","strings"
"Jan. 26, 2025","390","99.89%","String","constructive algorithms","greedy","math","strings",""
"Jan. 26, 2025","831","98.65%","Clockwork","greedy","math","","",""
"Jan. 26, 2025","1204","89.54%","Cirno and Operations","brute force","math","","",""
"Jan. 26, 2025","2019","7.28%","The Game (Easy Version)","data structures","dfs and similar","games","graphs","greedy"
"Jan. 26, 2025","2152","3.52%","Balanced Tree","dfs and similar","dp","graphs","greedy","trees"
"Jan. 26, 2025","2906","0.05%","Traveling Salescat","constructive algorithms","dp","geometry","graphs","greedy"
"Jan. 26, 2025","3132","0.01%","The Game (Hard Version)","data structures","dfs and similar","games","graphs","implementation"
"Jan. 26, 2025","3666","0.00%","Permutation Factory","flows","geometry","graph matchings","graphs",""
"Jan. 26, 2025","3706","0.00%","Galaxy Generator","bitmasks","combinatorics","dp","",""
"Jan. 22, 2025","382","99.90%","Minimal Coprime","math","number theory","","",""
"Jan. 22, 2025","972","97.02%","Subsequence Update","constructive algorithms","data structures","greedy","sortings",""
"Jan. 22, 2025","1515","58.83%","Remove Exactly Two","brute force","data structures","dfs and similar","dp","graphs"
"Jan. 22, 2025","2015","7.44%","Game With Triangles","binary search","brute force","data structures","geometry","greedy"
"Jan. 22, 2025","2338","1.24%","Triangle Tree","data structures","dfs and similar","dp","greedy","trees"
"Jan. 22, 2025","2508","0.47%","Counting Is Not Fun (Easy Version)","combinatorics","data structures","dfs and similar","dp","dsu"
"Jan. 22, 2025","2774","0.10%","Counting Is Not Fun (Hard Version)","combinatorics","data structures","dfs and similar","dsu","graphs"
"Jan. 20, 2025","541","99.74%","Kevin and Arithmetic","math","","","",""
"Jan. 20, 2025","1261","86.05%","Kevin and Geometry","binary search","geometry","","",""
"Jan. 20, 2025","1529","56.86%","Kevin and Numbers","bitmasks","data structures","","",""
"Jan. 20, 2025","1563","52.01%","Kevin and Puzzle","2-sat","combinatorics","dp","",""
"Jan. 20, 2025","2044","6.37%","Kevin and And","bitmasks","brute force","dp","greedy","math"
"Jan. 20, 2025","2164","3.30%","Kevin and Binary String (Easy Version)","greedy","implementation","","",""
"Jan. 20, 2025","2960","0.03%","Kevin and Teams","constructive algorithms","graphs","interactive","",""
"Jan. 20, 2025","3496","0.00%","Kevin and Stones (Easy Version)","flows","graph matchings","graphs","",""
"Jan. 20, 2025","3497","0.00%","Kevin and Binary String (Hard Version)","data structures","dp","","",""
"Jan. 20, 2025","4145","0.00%","Kevin and Nivek","divide and conquer","dp","","",""
"Jan. 20, 2025","4713","0.00%","Kevin and Stones (Hard Version)","flows","graphs","","",""
"Jan. 19, 2025","470","99.83%","Fibonacciness","brute force","","","",""
"Jan. 19, 2025","885","98.17%","Game of Mathletes","games","greedy","sortings","two pointers",""
"Jan. 19, 2025","928","97.67%","Farmer John's Card Game","greedy","sortings","","",""
"Jan. 19, 2025","1015","96.21%","Subtract Min Sort","greedy","","","",""
"Jan. 19, 2025","1593","47.70%","Graph Composition","dfs and similar","dsu","graphs","greedy",""
"Jan. 19, 2025","2213","2.51%","Multiplicative Arrays","combinatorics","dp","number theory","",""
"Jan. 19, 2025","2452","0.65%","Bugged Sort","dp","greedy","sortings","",""
"Jan. 17, 2025","468","99.83%","Shape Perimeter","constructive algorithms","math","","",""
"Jan. 17, 2025","1194","90.07%","Palindromic Subsequences","brute force","constructive algorithms","math","",""
"Jan. 17, 2025","1201","89.70%","Find the Permutation","brute force","dfs and similar","graphs","implementation","sortings"
"Jan. 17, 2025","2255","1.98%","Unique Median","binary search","brute force","combinatorics","data structures","divide and conquer"
"Jan. 17, 2025","2582","0.31%","Nested Segments","combinatorics","dfs and similar","dp","dsu","math"
"Jan. 17, 2025","2882","0.05%","Xor of Median (Easy Version)","bitmasks","brute force","combinatorics","dp","math"
"Jan. 17, 2025","3201","0.01%","Xor of Median (Hard Version)","bitmasks","brute force","combinatorics","dp","math"
"Jan. 12, 2025","296","99.94%","Two Frogs","constructive algorithms","games","greedy","math",""
"Jan. 12, 2025","851","98.49%","Crafting","constructive algorithms","greedy","sortings","",""
"Jan. 12, 2025","1393","74.25%","The Trail","brute force","constructive algorithms","greedy","math","two pointers"
"Jan. 12, 2025","2063","5.75%","Scarecrow","greedy","implementation","math","",""
"Jan. 12, 2025","3034","0.02%","Haystacks","brute force","constructive algorithms","data structures","greedy","sortings"
"Jan. 12, 2025","3479","0.00%","Cosmic Divide","brute force","geometry","hashing","math","strings"
"Jan. 4, 2025","390","99.89%","MEX Table","constructive algorithms","math","","",""
"Jan. 4, 2025","1029","95.91%","Gorilla and the Exam","greedy","sortings","","",""
"Jan. 4, 2025","1514","58.97%","Trip to the Olympiad","bitmasks","constructive algorithms","greedy","math",""
"Jan. 4, 2025","2008","7.72%","Gifts Order","data structures","greedy","implementation","math",""
"Jan. 4, 2025","2261","1.91%","Another Exercise on Graphs (Easy Version)","binary search","brute force","dp","dsu","graphs"
"Jan. 4, 2025","2495","0.50%","Another Exercise on Graphs (hard version)","binary search","dfs and similar","dp","dsu","graphs"
"Jan. 4, 2025","3014","0.03%","Secret Message","constructive algorithms","dfs and similar","math","",""
"Jan. 4, 2025","3471","0.00%","Formation","binary search","data structures","dp","sortings","two pointers"
"Jan. 4, 2025","3663","0.00%","Coffee Break","data structures","greedy","math","",""
"Dec. 28, 2024","604","99.63%","Tender Carpenter","dp","geometry","greedy","math",""
"Dec. 28, 2024","1079","94.62%","Outstanding Impressionist","binary search","brute force","data structures","greedy",""
"Dec. 28, 2024","1404","73.02%","Bewitching Stargazer","bitmasks","divide and conquer","dp","math",""
"Dec. 28, 2024","1693","33.90%","Refined Product Optimality","binary search","data structures","greedy","math","schedules"
"Dec. 28, 2024","1954","10.25%","Resourceful Caterpillar Sequence","dfs and similar","dp","games","graphs","greedy"
"Dec. 28, 2024","2615","0.25%","Earnest Matrix Complement","brute force","data structures","dp","greedy","implementation"
"Dec. 28, 2024","2832","0.07%","Affectionate Arrays (Easy Version)","data structures","dp","greedy","",""
"Dec. 28, 2024","3386","0.00%","Naive String Splits","binary search","brute force","greedy","hashing","math"
"Dec. 28, 2024","3826","0.00%","Delicate Anti-monotonous Operations","constructive algorithms","implementation","","",""
"Dec. 28, 2024","4611","0.00%","Affectionate Arrays (Hard Version)","data structures","dp","graphs","greedy","math"
"Dec. 24, 2024","664","99.48%","Coin Transformation","brute force","math","","",""
"Dec. 24, 2024","1017","96.17%","Digits","math","number theory","","",""
"Dec. 24, 2024","1623","43.42%","Sums on Segments","binary search","brute force","data structures","dp","greedy"
"Dec. 24, 2024","1876","15.17%","Problem about GCD","brute force","flows","math","number theory",""
"Dec. 24, 2024","2400","0.87%","Matrix Transformation","bitmasks","brute force","data structures","dfs and similar","graphs"
"Dec. 24, 2024","2706","0.15%","Nim","bitmasks","brute force","combinatorics","dp","games"
"Dec. 24, 2024","3648","0.00%","Problem with Queries","brute force","data structures","implementation","",""
"Dec. 23, 2024","","","TON Block Compression","*special","interactive","","",""
"Dec. 22, 2024","481","99.82%","Journey","binary search","math","","",""
"Dec. 22, 2024","553","99.73%","Preparing for the Olympiad","greedy","","","",""
"Dec. 22, 2024","1002","96.48%","Preparing for the Exam","constructive algorithms","implementation","","",""
"Dec. 22, 2024","1143","92.40%","Counting Pairs","binary search","sortings","two pointers","",""
"Dec. 22, 2024","1622","43.56%","Best Price","binary search","brute force","data structures","greedy","sortings"
"Dec. 22, 2024","2065","5.68%","Joker","brute force","greedy","implementation","math",""
"Dec. 22, 2024","2246","2.08%","Snakes","bitmasks","dp","dsu","graphs",""
"Dec. 20, 2024","664","99.48%","MEX Destruction","greedy","implementation","","",""
"Dec. 20, 2024","1176","90.96%","pspspsps","brute force","constructive algorithms","graph matchings","implementation",""
"Dec. 20, 2024","1415","71.76%","MEX Cycle","brute force","constructive algorithms","greedy","implementation",""
"Dec. 20, 2024","1920","12.19%","Shift + Esc","brute force","dp","","",""
"Dec. 20, 2024","2486","0.53%","Broken Queries","binary search","bitmasks","brute force","constructive algorithms","implementation"
"Dec. 20, 2024","2955","0.04%","MEX OR Mania","bitmasks","brute force","data structures","dsu","implementation"
"Dec. 19, 2024","487","99.81%","Kevin and Combination Lock","brute force","greedy","implementation","math","number theory"
"Dec. 19, 2024","741","99.19%","Kevin and Permutation","constructive algorithms","greedy","","",""
"Dec. 19, 2024","1128","92.99%","Kevin and Binary Strings","bitmasks","brute force","greedy","implementation","strings"
"Dec. 19, 2024","1593","47.70%","Kevin and Competition Memories","binary search","brute force","data structures","greedy","sortings"
"Dec. 19, 2024","2066","5.65%","Kevin and Bipartite Graph","constructive algorithms","flows","graphs","greedy",""
"Dec. 19, 2024","2534","0.40%","Kevin and Math Class","brute force","data structures","divide and conquer","dp","implementation"
"Dec. 19, 2024","2832","0.07%","Kevin and Matrices","brute force","combinatorics","dp","math",""
"Dec. 19, 2024","3188","0.01%","Kevin and Strange Operation","data structures","dp","","",""
"Dec. 19, 2024","3582","0.00%","Kevin and Puzzle (Easy Version)","constructive algorithms","","","",""
"Dec. 19, 2024","4550","0.00%","Kevin and Puzzle (Hard Version)","bitmasks","fft","math","",""
"Dec. 15, 2024","192","99.97%","Easy Problem","brute force","math","","",""
"Dec. 15, 2024","354","99.91%","Normal Problem","implementation","strings","","",""
"Dec. 15, 2024","463","99.84%","Hard Problem","greedy","math","","",""
"Dec. 15, 2024","1136","92.68%","Harder Problem","constructive algorithms","greedy","math","",""
"Dec. 15, 2024","1311","82.22%","Insane Problem","binary search","greedy","implementation","math","number theory"
"Dec. 15, 2024","1791","22.59%","Medium Demon Problem (easy version)","dfs and similar","graph matchings","graphs","implementation","trees"
"Dec. 15, 2024","2030","6.86%","Easy Demon Problem","binary search","brute force","data structures","math","number theory"
"Dec. 15, 2024","2124","4.11%","Medium Demon Problem (hard version)","dfs and similar","dp","dsu","graphs","implementation"
"Dec. 15, 2024","2162","3.33%","Hard Demon Problem","constructive algorithms","data structures","dp","implementation","math"
"Dec. 15, 2024","1562","52.16%","Adrenaline Rush","constructive algorithms","","","",""
"Dec. 15, 2024","1720","30.51%","Fix Flooded Floor","constructive algorithms","dp","graphs","",""
"Dec. 15, 2024","1916","12.44%","Expression Correction","brute force","expression parsing","strings","",""
"Dec. 15, 2024","2096","4.80%","Judicious Watching","binary search","greedy","sortings","",""
"Dec. 15, 2024","2162","3.33%","DAG Serialization","brute force","graphs","","",""
"Dec. 15, 2024","2515","0.45%","BitBitJump","","","","",""
"Dec. 15, 2024","2740","0.12%","Managing Cluster","dp","graphs","math","trees",""
"Dec. 15, 2024","2991","0.03%","Geometric Balance","data structures","geometry","implementation","",""
"Dec. 15, 2024","2991","0.03%","Incompetent Delivery Guy","graphs","shortest paths","","",""
"Dec. 15, 2024","3102","0.02%","Knowns and Unknowns","","","","",""
"Dec. 15, 2024","3152","0.01%","Legacy Screensaver","","","","",""
"Dec. 15, 2024","3671","0.00%","Cactus without Bridges","constructive algorithms","math","","",""
"Dec. 15, 2024","3671","0.00%","Hunting Hoglins in Hogwarts","interactive","","","",""
"Dec. 8, 2024","427","99.87%","Game of Division","games","math","","",""
"Dec. 8, 2024","860","98.41%","Paint a Strip","constructive algorithms","greedy","math","",""
"Dec. 8, 2024","1564","51.87%","Ordered Permutations","bitmasks","combinatorics","constructive algorithms","greedy","math"
"Dec. 8, 2024","1934","11.35%","Non Prime Tree","brute force","constructive algorithms","dfs and similar","greedy","number theory"
"Dec. 8, 2024","2190","2.85%","Control of Randomness","combinatorics","dfs and similar","dp","graphs","greedy"
"Dec. 8, 2024","2871","0.06%","Number of Cubes","combinatorics","dp","math","number theory",""
"Dec. 5, 2024","311","99.93%","Line Breaks","implementation","","","",""
"Dec. 5, 2024","972","97.02%","Transfusion","brute force","greedy","math","",""
"Dec. 5, 2024","1109","93.67%","Uninteresting Number","brute force","dp","math","",""
"Dec. 5, 2024","1291","83.84%","Digital string maximization","brute force","greedy","math","strings",""
"Dec. 5, 2024","1485","62.94%","Three Strings","dp","implementation","strings","",""
"Dec. 5, 2024","1671","36.79%","Maximum modulo equality","data structures","math","number theory","",""
"Dec. 5, 2024","1959","9.98%","Tree Destruction","dfs and similar","dp","trees","",""
"Dec. 3, 2024","582","99.68%","Alyona and a Square Jigsaw Puzzle","implementation","math","","",""
"Dec. 3, 2024","756","99.12%","Replace Character","brute force","combinatorics","greedy","strings",""
"Dec. 3, 2024","1154","91.95%","Swap Columns and Find a Path","data structures","greedy","sortings","",""
"Dec. 3, 2024","1560","52.44%","Move Back at a Cost","binary search","data structures","greedy","sortings",""
"Dec. 3, 2024","2153","3.50%","Adventurers","binary search","data structures","flows","greedy","implementation"
"Dec. 3, 2024","3038","0.02%","Cheops and a Contest (Easy Version)","constructive algorithms","greedy","","",""
"Dec. 3, 2024","3092","0.02%","For the Emperor!","flows","graphs","","",""
"Dec. 3, 2024","3473","0.00%","Yandex Cuneiform (Easy Version)","constructive algorithms","data structures","greedy","",""
"Dec. 3, 2024","3807","0.00%","Cheops and a Contest (Hard Version)","greedy","implementation","","",""
"Dec. 3, 2024","4392","0.00%","Yandex Cuneiform (Hard Version)","constructive algorithms","data structures","greedy","implementation",""
"Dec. 2, 2024","524","99.77%","Greedy Monocarp","greedy","sortings","","",""
"Dec. 2, 2024","825","98.70%","Game with Colored Marbles","games","greedy","","",""
"Dec. 2, 2024","1700","33.00%","Competitive Fishing","greedy","","","",""
"Dec. 2, 2024","1943","10.84%","Recommendations","data structures","implementation","sortings","two pointers",""
"Dec. 2, 2024","2575","0.32%","Two Subarrays","data structures","dp","implementation","matrices",""
"Dec. 2, 2024","2843","0.07%","Vertex Pairs","binary search","brute force","data structures","dfs and similar","divide and conquer"
"Dec. 1, 2024","1449","67.63%","Saraga","greedy","strings","","",""
"Dec. 1, 2024","1775","24.24%","Scrambled Scrabble","brute force","greedy","","",""
"Dec. 1, 2024","1854","16.87%","Mirror Maze","brute force","dfs and similar","graphs","implementation",""
"Dec. 1, 2024","2069","5.56%","ICPC Square","math","number theory","","",""
"Dec. 1, 2024","2179","3.03%","Microwavable Subsequence","data structures","","","",""
"Dec. 1, 2024","2307","1.47%","X Aura","graphs","math","shortest paths","",""
"Dec. 1, 2024","2402","0.86%","Missing Separators","dp","sortings","string suffix structures","strings",""
"Dec. 1, 2024","2737","0.13%","Xorderable Array","bitmasks","data structures","","",""
"Dec. 1, 2024","2934","0.04%","Narrower Passageway","combinatorics","data structures","","",""
"Dec. 1, 2024","3058","0.02%","Buggy DFS","constructive algorithms","","","",""
"Dec. 1, 2024","3069","0.02%","Grid Game 3-angle","games","math","","",""
"Dec. 1, 2024","3277","0.01%","GCDDCG","","","","",""
"Dec. 1, 2024","4282","0.00%","Aquatic Dragon","","","","",""
"Nov. 30, 2024","434","99.86%","King Keykhosrow's Mystery","brute force","chinese remainder theorem","math","number theory",""
"Nov. 30, 2024","921","97.76%","Rakhsh's Revival","data structures","greedy","implementation","two pointers",""
"Nov. 30, 2024","1399","73.59%","Trapped in the Witch's Labyrinth","constructive algorithms","dfs and similar","graphs","implementation",""
"Nov. 30, 2024","1605","45.98%","Darius' Wisdom","constructive algorithms","greedy","implementation","sortings",""
"Nov. 30, 2024","2200","2.70%","Permutations Harmony","combinatorics","constructive algorithms","greedy","hashing","math"
"Nov. 30, 2024","2539","0.39%","Khayyam's Royal Decree (Easy Version)","combinatorics","dp","math","sortings",""
"Nov. 30, 2024","2800","0.09%","Khayyam's Royal Decree (Hard Version)","combinatorics","dp","math","sortings",""
"Nov. 30, 2024","3390","0.00%","Rayan vs. Rayaneh","brute force","dfs and similar","dp","number theory",""
"Nov. 30, 2024","3656","0.00%","Simurgh's Watch (Easy Version)","constructive algorithms","greedy","implementation","",""
"Nov. 30, 2024","3986","0.00%","Simurgh's Watch (Hard Version)","greedy","implementation","","",""
"Nov. 24, 2024","459","99.84%","The Bento Box Adventure","implementation","sortings","","",""
"Nov. 24, 2024","1255","86.45%","Beautiful Array","constructive algorithms","math","","",""
"Nov. 24, 2024","1257","86.32%","Bowling Frame","binary search","brute force","math","",""
"Nov. 24, 2024","1763","25.53%","Drunken Maze","brute force","dfs and similar","graphs","shortest paths",""
"Nov. 24, 2024","1962","9.83%","Cube","bitmasks","dfs and similar","dp","",""
"Nov. 24, 2024","2189","2.87%","Selection Sort","binary search","data structures","greedy","two pointers",""
"Nov. 24, 2024","2374","1.01%","Sheet Music","combinatorics","dp","math","",""
"Nov. 24, 2024","2406","0.84%","Auto Complete","binary search","data structures","hashing","implementation","sortings"
"Nov. 24, 2024","2571","0.33%","Segmentation Folds","brute force","dfs and similar","number theory","",""
"Nov. 24, 2024","2961","0.03%","Bottle Arrangement","data structures","divide and conquer","dp","dsu","greedy"
"Nov. 24, 2024","3251","0.01%","Grid Game","","","","",""
"Nov. 24, 2024","3314","0.00%","Trophic Balance Species","binary search","brute force","dfs and similar","graphs",""
"Nov. 24, 2024","3398","0.00%","Building Castle","","","","",""
"Nov. 24, 2024","4063","0.00%","Railway Construction","","","","",""
"Nov. 23, 2024","485","99.81%","Shohag Loves Mod","constructive algorithms","number theory","","",""
"Nov. 23, 2024","920","97.77%","Shohag Loves Strings","constructive algorithms","greedy","implementation","strings",""
"Nov. 23, 2024","1177","90.91%","Shohag Loves XOR (Easy Version)","bitmasks","brute force","math","number theory",""
"Nov. 23, 2024","1656","38.82%","Shohag Loves GCD","constructive algorithms","greedy","math","number theory",""
"Nov. 23, 2024","1793","22.38%","Shohag Loves XOR (Hard Version)","bitmasks","brute force","math","number theory",""
"Nov. 23, 2024","2144","3.68%","Shohag Loves Inversions","combinatorics","dp","implementation","math",""
"Nov. 23, 2024","2891","0.05%","Shohag Loves Counting (Easy Version)","brute force","combinatorics","dp","math","number theory"
"Nov. 23, 2024","3239","0.01%","Shohag Loves Counting (Hard Version)","dp","number theory","","",""
"Nov. 23, 2024","3580","0.00%","Cool Swap Walk (Easy Version)","constructive algorithms","implementation","sortings","",""
"Nov. 23, 2024","3804","0.00%","Cool Swap Walk (Hard Version)","constructive algorithms","implementation","sortings","",""
"Nov. 23, 2024","4125","0.00%","Shohag Loves Pebae","math","number theory","","",""
"Nov. 18, 2024","853","98.47%","Fixing the Expression","implementation","","","",""
"Nov. 18, 2024","929","97.66%","Waiting for...","greedy","implementation","","",""
"Nov. 18, 2024","1437","69.12%","Bridge Renovation","brute force","dp","greedy","math","two pointers"
"Nov. 18, 2024","1440","68.75%","DIY","data structures","geometry","greedy","sortings",""
"Nov. 18, 2024","1530","56.72%","Bonus Project","games","greedy","","",""
"Nov. 18, 2024","1893","13.95%","Guess One Character","constructive algorithms","implementation","interactive","",""
"Nov. 18, 2024","2147","3.62%","Make It Equal","binary search","brute force","greedy","math",""
"Nov. 18, 2024","2224","2.36%","Grid Walk","brute force","dp","greedy","math","number theory"
"Nov. 18, 2024","2501","0.49%","Divide OR Conquer","bitmasks","data structures","dp","implementation",""
"Nov. 18, 2024","2576","0.32%","Polyathlon","binary search","data structures","hashing","string suffix structures","strings"
"Nov. 18, 2024","2594","0.29%","Alternative Platforms","combinatorics","data structures","fft","math","sortings"
"Nov. 18, 2024","2928","0.04%","Royal Flush","dp","implementation","","",""
"Nov. 18, 2024","3071","0.02%","Barrels","data structures","greedy","math","",""
"Nov. 18, 2024","3158","0.01%","Galactic Council","flows","","","",""
"Nov. 17, 2024","405","99.88%","Twice","implementation","","","",""
"Nov. 17, 2024","770","99.05%","Intercepted Inputs","brute force","implementation","","",""
"Nov. 17, 2024","924","97.72%","Superultra's Favorite Permutation","constructive algorithms","greedy","math","number theory",""
"Nov. 17, 2024","1372","76.50%","Sharky Surfing","data structures","greedy","two pointers","",""
"Nov. 17, 2024","1683","35.20%","Kachina's Favorite Binary String","dp","greedy","interactive","two pointers",""
"Nov. 17, 2024","2036","6.65%","Natlan Exploring","bitmasks","combinatorics","data structures","dp","math"
"Nov. 17, 2024","2124","4.11%","Ardent Flames","binary search","data structures","math","sortings","two pointers"
