"problem-date-column","coder-color","problem-luck-column","nowrap","tag","tag 2","tag 3","tag 4","tag 5"
"Nov. 15, 2024","679","99.43%","Penchick and Modern Monument","constructive algorithms","dp","greedy","math",""
"Nov. 15, 2024","782","98.98%","Penchick and Satay Sticks","brute force","greedy","sortings","",""
"Nov. 15, 2024","1317","81.71%","Penchick and BBQ Buns","constructive algorithms","math","number theory","",""
"Nov. 15, 2024","1674","36.39%","Penchick and Desert Rabbit","binary search","data structures","dfs and similar","dp","dsu"
"Nov. 15, 2024","2125","4.09%","Penchick and Chloe's Trees","data structures","dfs and similar","dp","greedy","implementation"
"Nov. 15, 2024","2970","0.03%","Penchick and Even Medians","binary search","constructive algorithms","interactive","probabilities",""
"Nov. 10, 2024","791","98.93%","Alice's Adventures in ''Chess''","brute force","implementation","math","",""
"Nov. 10, 2024","1360","77.72%","Alice's Adventures in Permuting","binary search","implementation","math","",""
"Nov. 10, 2024","1544","54.73%","Alice's Adventures in Cutting Cake","binary search","dp","greedy","two pointers",""
"Nov. 10, 2024","2029","6.90%","Alice's Adventures in Cards","constructive algorithms","data structures","dp","graphs","greedy"
"Nov. 10, 2024","2323","1.35%","Alice's Adventures in the Rabbit Hole","combinatorics","dfs and similar","dp","games","greedy"
"Nov. 10, 2024","2850","0.07%","Alice's Adventures in Addition","bitmasks","brute force","dp","implementation",""
"Nov. 9, 2024","656","99.50%","Set","greedy","math","","",""
"Nov. 9, 2024","1091","94.25%","Replacement","constructive algorithms","games","greedy","strings",""
"Nov. 9, 2024","1604","46.12%","New Rating","binary search","data structures","dp","greedy",""
"Nov. 9, 2024","1879","14.95%","Cool Graph","constructive algorithms","data structures","dfs and similar","dsu","graphs"
"Nov. 9, 2024","2027","6.98%","Common Generator","brute force","constructive algorithms","math","number theory",""
"Nov. 9, 2024","2500","0.49%","Palindrome Everywhere","constructive algorithms","graphs","greedy","",""
"Nov. 9, 2024","3141","0.01%","Balanced Problem","data structures","dp","","",""
"Nov. 9, 2024","3771","0.00%","Message Spread","bitmasks","combinatorics","dp","",""
"Nov. 9, 2024","4021","0.00%","Variance Challenge","flows","graphs","greedy","",""
"Nov. 2, 2024","509","99.79%","Quintomania","implementation","","","",""
"Nov. 2, 2024","879","98.23%","Startup","greedy","sortings","","",""
"Nov. 2, 2024","1140","92.52%","Anya and 1100","brute force","implementation","","",""
"Nov. 2, 2024","1345","79.17%","I Love 1543","brute force","implementation","matrices","",""
"Nov. 2, 2024","1695","33.64%","Reverse the Rivers","binary search","constructive algorithms","data structures","greedy",""
"Nov. 2, 2024","1966","9.63%","XORificator 3000","bitmasks","dp","number theory","two pointers",""
"Nov. 2, 2024","2402","0.86%","Library of Magic","binary search","constructive algorithms","divide and conquer","interactive","math"
"Nov. 1, 2024","578","99.68%","Circuit","greedy","implementation","math","number theory",""
"Nov. 1, 2024","1007","96.38%","Medians","constructive algorithms","greedy","implementation","math",""
"Nov. 1, 2024","1370","76.70%","Trinity","binary search","math","sortings","two pointers",""
"Nov. 1, 2024","1837","18.29%","Genokraken","constructive algorithms","data structures","graphs","greedy","implementation"
"Nov. 1, 2024","2482","0.54%","Balanced","constructive algorithms","data structures","greedy","implementation","math"
"Nov. 1, 2024","2875","0.06%","Peanuts","combinatorics","dp","games","math",""
"Oct. 28, 2024","835","98.62%","Perpendicular Segments","constructive algorithms","geometry","greedy","math",""
"Oct. 28, 2024","1243","87.24%","Black Cells","binary search","brute force","constructive algorithms","greedy",""
"Oct. 28, 2024","1484","63.07%","Action Figures","binary search","brute force","constructive algorithms","data structures","greedy"
"Oct. 28, 2024","1878","15.02%","Sums of Segments","binary search","data structures","dp","implementation","math"
"Oct. 28, 2024","2565","0.34%","Best Subsequence","bitmasks","dfs and similar","flows","graph matchings","graphs"
"Oct. 28, 2024","3273","0.01%","Bermart Ice Cream","data structures","dfs and similar","divide and conquer","dp","implementation"
"Oct. 27, 2024","528","99.76%","Sliding","implementation","math","","",""
"Oct. 27, 2024","705","99.34%","Everyone Loves Tres","constructive algorithms","greedy","math","number theory",""
"Oct. 27, 2024","1322","81.27%","Alya and Permutation","bitmasks","constructive algorithms","math","",""
"Oct. 27, 2024","1695","33.64%","Yet Another Real Number Problem","binary search","data structures","divide and conquer","greedy","implementation"
"Oct. 27, 2024","2265","1.87%","Monster","binary search","brute force","constructive algorithms","greedy","implementation"
"Oct. 27, 2024","2516","0.45%","Tree Operations","binary search","brute force","dfs and similar","dp","trees"
"Oct. 27, 2024","3276","0.01%","Go Learn! (Easy Version)","dp","trees","","",""
"Oct. 27, 2024","3645","0.00%","Go Learn! (Hard Version)","divide and conquer","dp","","",""
"Oct. 27, 2024","3969","0.00%","Peak Productivity Forces","constructive algorithms","","","",""
"Oct. 26, 2024","370","99.90%","Rectangle Arrangement","geometry","implementation","math","",""
"Oct. 26, 2024","1023","96.04%","Stalin Sort","brute force","greedy","","",""
"Oct. 26, 2024","1394","74.14%","Add Zeros","brute force","data structures","dfs and similar","dp","graphs"
"Oct. 26, 2024","1690","34.29%","The Endspeaker (Easy Version)","binary search","dp","graphs","greedy","implementation"
"Oct. 26, 2024","2187","2.90%","The Endspeaker (Hard Version)","binary search","data structures","dp","greedy","implementation"
"Oct. 26, 2024","2986","0.03%","Bit Game (Easy Version)","bitmasks","brute force","games","math",""
"Oct. 26, 2024","3809","0.00%","Bit Game (Hard Version)","bitmasks","dp","math","",""
"Oct. 24, 2024","288","99.94%","Sakurako and Kosuke","constructive algorithms","implementation","math","",""
"Oct. 24, 2024","805","98.84%","Sakurako and Water","brute force","constructive algorithms","greedy","",""
"Oct. 24, 2024","1361","77.62%","Kousuke's Assignment","data structures","dp","dsu","greedy","math"
"Oct. 24, 2024","1399","73.59%","Sakurako's Field Trip","dp","greedy","two pointers","",""
"Oct. 24, 2024","1422","70.94%","Sakurako, Kosuke, and the Permutation","brute force","data structures","dfs and similar","dsu","graphs"
"Oct. 24, 2024","1858","16.55%","Kosuke's Sloth","brute force","math","number theory","",""
"Oct. 24, 2024","2330","1.29%","Sakurako and Chefir","data structures","dfs and similar","dp","greedy","trees"
"Oct. 20, 2024","433","99.86%","Profitable Interest Rate","greedy","math","","",""
"Oct. 20, 2024","1033","95.82%","Buying Lemonade","binary search","constructive algorithms","sortings","",""
"Oct. 20, 2024","1276","84.98%","Concatenation of Arrays","constructive algorithms","greedy","math","sortings",""
"Oct. 20, 2024","1824","19.44%","Skipping","binary search","constructive algorithms","data structures","divide and conquer","dp"
"Oct. 20, 2024","2430","0.73%","C+K+S","constructive algorithms","dfs and similar","graphs","greedy","hashing"
"Oct. 20, 2024","2941","0.04%","Many Games","brute force","dp","greedy","math","probabilities"
"Oct. 20, 2024","3419","0.00%","Tree of Life","dp","greedy","trees","",""
"Oct. 20, 2024","3942","0.00%","Hills and Pits","data structures","greedy","math","matrices",""
"Oct. 19, 2024","382","99.90%","A Gift From Orangutan","constructive algorithms","greedy","math","sortings",""
"Oct. 19, 2024","701","99.36%","Minimise Oneness","combinatorics","constructive algorithms","games","math",""
"Oct. 19, 2024","1084","94.47%","A TRUE Battle","brute force","games","greedy","",""
"Oct. 19, 2024","1681","35.46%","QED's Favorite Permutation","data structures","implementation","sortings","",""
"Oct. 19, 2024","2328","1.31%","MEXimize the Score","combinatorics","data structures","dp","greedy","implementation"
"Oct. 19, 2024","2542","0.39%","Orangutan Approved Subarrays","binary search","data structures","dp","greedy","implementation"
"Oct. 19, 2024","3007","0.03%","The Destruction of the Universe (Easy Version)","combinatorics","greedy","math","",""
"Oct. 19, 2024","3199","0.01%","The Destruction of the Universe (Hard Version)","combinatorics","math","","",""
"Oct. 14, 2024","498","99.80%","Two Screens","binary search","greedy","strings","two pointers",""
"Oct. 14, 2024","1010","96.32%","Binomial Coefficients, Kind Of","combinatorics","dp","math","",""
"Oct. 14, 2024","1225","88.35%","New Game","binary search","brute force","greedy","implementation","sortings"
"Oct. 14, 2024","1790","22.69%","Attribute Checks","brute force","data structures","dp","implementation","math"
"Oct. 14, 2024","2266","1.86%","Card Game","combinatorics","dp","fft","greedy","math"
"Oct. 14, 2024","2649","0.21%","Choose Your Queries","constructive algorithms","dfs and similar","dp","graphs","greedy"
"Oct. 14, 2024","3174","0.01%","Variable Damage","data structures","flows","","",""
"Oct. 13, 2024","590","99.66%","Bus to Pénjamo","constructive algorithms","greedy","implementation","math",""
"Oct. 13, 2024","1281","84.60%","Kar Salesman","binary search","greedy","math","",""
"Oct. 13, 2024","1762","25.64%","Gerrymandering","dp","implementation","","",""
"Oct. 13, 2024","1887","14.37%","Asesino (Easy Version)","binary search","brute force","constructive algorithms","implementation","interactive"
"Oct. 13, 2024","2558","0.35%","Billetes MX (Easy Version)","2-sat","binary search","combinatorics","constructive algorithms","dfs and similar"
"Oct. 13, 2024","2684","0.17%","Billetes MX (Hard Version)","binary search","combinatorics","data structures","dsu","graphs"
"Oct. 13, 2024","2896","0.05%","Asesino (Hard Version)","constructive algorithms","dp","interactive","",""
"Oct. 6, 2024","553","99.73%","Meaning Mean","data structures","greedy","math","sortings",""
"Oct. 6, 2024","1122","93.21%","Maximize Mex","brute force","greedy","math","number theory",""
"Oct. 6, 2024","1176","90.96%","Adjust The Presentation (Easy Version)","constructive algorithms","greedy","","",""
"Oct. 6, 2024","1905","13.15%","Adjust The Presentation (Hard Version)","constructive algorithms","data structures","greedy","implementation","sortings"
"Oct. 6, 2024","2211","2.53%","Digital Village (Easy Version)","brute force","data structures","dp","dsu","graphs"
"Oct. 6, 2024","2537","0.40%","Digital Village (Hard Version)","data structures","dp","dsu","graphs","math"
"Oct. 6, 2024","2680","0.17%","Boss, Thirsty","dp","greedy","implementation","",""
"Oct. 6, 2024","2836","0.07%","Digital Village (Extreme Version)","data structures","dfs and similar","dp","dsu","graphs"
"Sept. 30, 2024","","","Problem Solving","*special","","","",""
"Sept. 30, 2024","","","Shuffle","*special","","","",""
"Sept. 30, 2024","","","Split the Expression","*special","","","",""
"Sept. 30, 2024","","","Among Wolves","*special","","","",""
"Sept. 30, 2024","","","Rock-Paper-Scissors Bot","*special","greedy","strings","",""
"Sept. 30, 2024","","","Good Subarray","*special","data structures","greedy","",""
"Sept. 30, 2024","","","Removal of a Permutation","*special","","","",""
"Sept. 30, 2024","","","Strange Matrix","*special","graphs","greedy","",""
"Sept. 30, 2024","","","Stack and Queue","*special","data structures","divide and conquer","",""
"Sept. 29, 2024","757","99.12%","Find Minimum Operations","bitmasks","brute force","greedy","math","number theory"
"Sept. 29, 2024","1178","90.86%","Brightness Begins","binary search","math","","",""
"Sept. 29, 2024","1414","71.88%","Bitwise Balancing","bitmasks","hashing","implementation","math","schedules"
"Sept. 29, 2024","1829","18.99%","Connect the Dots","brute force","dp","dsu","graphs","math"
"Sept. 29, 2024","2087","5.04%","Expected Power","bitmasks","dp","math","probabilities",""
"Sept. 29, 2024","3018","0.02%","Count Leaves","dp","math","number theory","",""
"Sept. 27, 2024","579","99.68%","Max Plus Size","brute force","dp","greedy","",""
"Sept. 27, 2024","1149","92.16%","All Pairs Segments","implementation","math","","",""
"Sept. 27, 2024","1563","52.01%","Cards Partition","2-sat","brute force","greedy","implementation","math"
"Sept. 27, 2024","1793","22.38%","Tree Pruning","brute force","constructive algorithms","dfs and similar","dp","greedy"
"Sept. 27, 2024","2025","7.05%","Speedbreaker","binary search","constructive algorithms","data structures","dp","greedy"
"Sept. 27, 2024","2293","1.60%","Max Plus Min Plus Size","data structures","dp","dsu","greedy","implementation"
"Sept. 27, 2024","2959","0.04%","Speedbreaker Counting (Easy Version)","combinatorics","dp","greedy","math",""
"Sept. 27, 2024","3069","0.02%","Speedbreaker Counting (Medium Version)","dp","greedy","math","",""
"Sept. 27, 2024","3170","0.01%","Speedbreaker Counting (Hard Version)","dp","greedy","math","",""
"Sept. 27, 2024","3291","0.01%","Complex Segments (Easy Version)","binary search","data structures","divide and conquer","dsu","greedy"
"Sept. 27, 2024","3701","0.00%","Complex Segments (Hard Version)","binary search","data structures","divide and conquer","dsu","greedy"
"Sept. 21, 2024","360","99.91%","Robin Helps","greedy","implementation","","",""
"Sept. 21, 2024","758","99.11%","Robin Hood and the Major Oak","math","","","",""
"Sept. 21, 2024","1066","94.99%","Robin Hood in Town","binary search","greedy","math","",""
"Sept. 21, 2024","1456","66.74%","Robert Hood and Mrs Hood","brute force","data structures","greedy","sortings",""
"Sept. 21, 2024","1845","17.61%","Rendez-vous de Marian et Robin","dfs and similar","graphs","shortest paths","",""
"Sept. 21, 2024","2029","6.90%","Sheriff's Defense","dfs and similar","dp","greedy","trees",""
"Sept. 21, 2024","2077","5.32%","Robin Hood Archery","data structures","divide and conquer","greedy","hashing",""
"Sept. 21, 2024","2402","0.86%","Milky Days","brute force","data structures","greedy","implementation",""
"Sept. 20, 2024","404","99.88%","Zhan's Blender","constructive algorithms","math","","",""
"Sept. 20, 2024","775","99.02%","Battle for Survive","constructive algorithms","greedy","math","",""
"Sept. 20, 2024","1414","71.88%","Password Cracking","constructive algorithms","interactive","strings","",""
"Sept. 20, 2024","1896","13.75%","Minimize the Difference","binary search","greedy","","",""
"Sept. 20, 2024","2184","2.95%","Prefix GCD","brute force","dp","greedy","math","number theory"
"Sept. 20, 2024","2778","0.10%","Game in Tree (Easy Version)","binary search","brute force","data structures","dp","games"
"Sept. 20, 2024","3410","0.00%","Game in Tree (Hard Version)","binary search","data structures","trees","",""
"Sept. 17, 2024","","","My First Sorting Problem","*special","implementation","sortings","",""
"Sept. 17, 2024","","","Square or Not","*special","strings","","",""
"Sept. 17, 2024","","","Make Equal Again","*special","brute force","greedy","math",""
"Sept. 17, 2024","","","Forming Triangles","*special","combinatorics","","",""
"Sept. 17, 2024","","","Decreasing String","*special","strings","","",""
"Sept. 17, 2024","","","Colored Portals","*special","greedy","","",""
"Sept. 17, 2024","","","Berserk Monsters","*special","implementation","","",""
"Sept. 17, 2024","","","Replace on Segment","*special","dp","","",""
"Sept. 17, 2024","","","My First Sorting Problem","*special","implementation","sortings","",""
"Sept. 17, 2024","","","Square or Not","*special","strings","","",""
"Sept. 17, 2024","","","Make Equal Again","*special","brute force","greedy","math",""
"Sept. 17, 2024","","","Forming Triangles","*special","combinatorics","","",""
"Sept. 17, 2024","","","Decreasing String","*special","strings","","",""
"Sept. 17, 2024","","","Colored Portals","*special","greedy","","",""
"Sept. 17, 2024","","","Berserk Monsters","*special","implementation","","",""
"Sept. 17, 2024","","","Replace on Segment","*special","dp","","",""
"Sept. 14, 2024","791","98.93%","Simple Palindrome","combinatorics","constructive algorithms","greedy","math",""
"Sept. 14, 2024","912","97.87%","The Strict Teacher (Easy Version)","greedy","math","sortings","",""
"Sept. 14, 2024","1069","94.90%","The Strict Teacher (Hard Version)","binary search","greedy","math","sortings",""
"Sept. 14, 2024","1784","23.30%","Lazy Narek","dp","implementation","strings","",""
"Sept. 14, 2024","2085","5.10%","Subtangle Game (Easy Version)","dp","games","greedy","implementation",""
"Sept. 14, 2024","2524","0.43%","Alter the GCD","binary search","data structures","divide and conquer","implementation","number theory"
"Sept. 14, 2024","2638","0.22%","Subtangle Game (Hard Version)","data structures","dp","games","greedy","implementation"
"Sept. 3, 2024","412","99.88%","Minimize!","brute force","math","","",""
"Sept. 3, 2024","675","99.45%","osu!mania","brute force","implementation","","",""
"Sept. 3, 2024","1196","89.96%","The Legend of Freya the Frog","implementation","math","","",""
"Sept. 3, 2024","1486","62.80%","Satyam and Counting","geometry","math","","",""
"Sept. 3, 2024","1528","57.01%","Klee's SUPER DUPER LARGE Array!!!","binary search","math","ternary search","",""
"Sept. 3, 2024","1831","18.81%","Firefly's Queries","data structures","math","","",""
"Sept. 3, 2024","2074","5.41%","Yunli's Subarray Queries (easy version)","binary search","data structures","two pointers","",""
"Sept. 3, 2024","2448","0.66%","Yunli's Subarray Queries (hard version)","binary search","data structures","dp","",""
"Sept. 3, 2024","2842","0.07%","Yunli's Subarray Queries (extreme version)","data structures","dp","implementation","",""
"Sept. 1, 2024","472","99.83%","Sakurako's Exam","brute force","constructive algorithms","greedy","math",""
"Sept. 1, 2024","653","99.51%","Longest Good Array","binary search","brute force","math","",""
"Sept. 1, 2024","719","99.29%","Square or Not","brute force","math","strings","",""
"Sept. 1, 2024","1079","94.62%","Sakurako's Hobby","dp","dsu","graphs","math",""
"Sept. 1, 2024","1380","75.66%","Sakurako's Box","combinatorics","math","number theory","",""
"Sept. 1, 2024","1544","54.73%","Alternating String","brute force","data structures","dp","greedy","implementation"
"Sept. 1, 2024","1942","10.90%","Sakurako's Task","binary search","greedy","math","number theory",""
"Sept. 1, 2024","2197","2.74%","Sakurako's Test","binary search","brute force","greedy","math","number theory"
"Aug. 30, 2024","645","99.53%","Dora's Set","greedy","math","number theory","",""
"Aug. 30, 2024","854","98.47%","Index and Maximum Value","data structures","greedy","","",""
"Aug. 30, 2024","1401","73.36%","Dora and C++","math","number theory","","",""
"Aug. 30, 2024","1763","25.53%","Iris and Game on the Tree","constructive algorithms","dfs and similar","games","graphs","greedy"
"Aug. 30, 2024","2040","6.51%","Iris and the Tree","brute force","data structures","dfs and similar","dsu","math"
"Aug. 30, 2024","2310","1.45%","Eri and Expanded Sets","binary search","data structures","math","number theory","two pointers"
"Aug. 30, 2024","2673","0.18%","Iris and Adjacent Products","data structures","greedy","implementation","math",""
"Aug. 30, 2024","3122","0.01%","Iris's Full Binary Tree","brute force","data structures","dfs and similar","trees",""
"Aug. 30, 2024","3684","0.00%","Dora's Paint","brute force","combinatorics","constructive algorithms","graphs","implementation"
"Aug. 28, 2024","337","99.92%","Alternating Sum of Numbers","brute force","implementation","math","",""
"Aug. 28, 2024","450","99.85%","Three Brothers","brute force","implementation","math","",""
"Aug. 28, 2024","1433","69.61%","Message Transmission Error (easy version)","brute force","strings","","",""
"Aug. 28, 2024","1683","35.20%","Message Transmission Error (hard version)","hashing","string suffix structures","strings","two pointers",""
"Aug. 25, 2024","473","99.83%","Turtle and Good Strings","greedy","strings","","",""
"Aug. 25, 2024","754","99.13%","Turtle and Piggy Are Playing a Game 2","games","greedy","sortings","",""
"Aug. 25, 2024","1135","92.72%","Turtle and Good Pairs","constructive algorithms","greedy","sortings","strings",""
"Aug. 25, 2024","1532","56.44%","Turtle and a MEX Problem (Easy Version)","greedy","math","","",""
"Aug. 25, 2024","2084","5.12%","Turtle and a MEX Problem (Hard Version)","dfs and similar","dp","graphs","greedy","implementation"
"Aug. 25, 2024","2773","0.10%","Turtle and Inversions (Easy Version)","brute force","divide and conquer","dp","greedy","math"
"Aug. 25, 2024","2957","0.04%","Turtle and Inversions (Hard Version)","brute force","data structures","divide and conquer","dp","greedy"
"Aug. 25, 2024","2996","0.03%","Turtle and Three Sequences","brute force","data structures","dp","greedy","math"
"Aug. 20, 2024","445","99.85%","Make All Equal","greedy","implementation","","",""
"Aug. 20, 2024","754","99.13%","Generate Permutation","constructive algorithms","","","",""
"Aug. 20, 2024","1538","55.59%","Guess The Tree","binary search","brute force","dfs and similar","divide and conquer","dsu"
"Aug. 20, 2024","1957","10.09%","Longest Max Min Subsequence","brute force","constructive algorithms","data structures","greedy","implementation"
"Aug. 20, 2024","2419","0.78%","Deterministic Heap (Easy Version)","combinatorics","dp","math","trees",""
"Aug. 20, 2024","3028","0.02%","Deterministic Heap (Hard Version)","combinatorics","dp","trees","",""
"Aug. 15, 2024","636","99.56%","Closest Point","implementation","math","","",""
"Aug. 15, 2024","946","97.42%","Game with Doors","brute force","greedy","","",""
"Aug. 15, 2024","1061","95.12%","Splitting Items","games","greedy","sortings","",""
"Aug. 15, 2024","1622","43.56%","Colored Portals","binary search","brute force","data structures","graphs","greedy"
"Aug. 15, 2024","2048","6.23%","Not a Nim Problem","brute force","games","math","number theory",""
"Aug. 15, 2024","2593","0.29%","Make a Palindrome","binary search","brute force","data structures","greedy","math"
"Aug. 15, 2024","2995","0.03%","Substring Compression","data structures","dp","matrices","",""
"Aug. 13, 2024","629","99.58%","Primary Task","implementation","math","strings","",""
"Aug. 13, 2024","700","99.36%","Seating in a Bus","two pointers","","","",""
"Aug. 13, 2024","1056","95.25%","Numeric String Template","data structures","strings","","",""
"Aug. 13, 2024","1119","93.32%","Right Left Wrong","greedy","implementation","two pointers","",""
"Aug. 13, 2024","1445","68.13%","Photoshoot for Gorillas","combinatorics","data structures","greedy","math",""
"Aug. 13, 2024","1952","10.35%","Color Rows and Columns","dp","greedy","implementation","math",""
"Aug. 13, 2024","2259","1.93%","Call During the Journey","binary search","brute force","graphs","greedy","shortest paths"
"Aug. 13, 2024","2333","1.27%","Ksyusha and the Loaded Set","binary search","brute force","data structures","implementation",""
"Aug. 11, 2024","752","99.14%","Distanced Coloring","constructive algorithms","implementation","math","",""
"Aug. 11, 2024","933","97.60%","Removals Game","constructive algorithms","games","","",""
"Aug. 11, 2024","1141","92.48%","Black Circles","brute force","geometry","greedy","math",""
"Aug. 11, 2024","1865","16.00%","DFS Checker (Easy Version)","brute force","data structures","dfs and similar","graphs","hashing"
"Aug. 11, 2024","2236","2.20%","Cosmic Rays","brute force","data structures","dp","",""
"Aug. 11, 2024","2300","1.53%","DFS Checker (Hard Version)","binary search","data structures","dfs and similar","graphs","hashing"
"Aug. 11, 2024","2573","0.32%","Court Blue (Easy Version)","brute force","dfs and similar","dp","math","number theory"
"Aug. 11, 2024","2886","0.05%","Court Blue (Hard Version)","brute force","dp","math","number theory",""
"Aug. 11, 2024","3455","0.00%","Lattice Optimizing","bitmasks","brute force","hashing","meet-in-the-middle",""
"Aug. 11, 2024","4566","0.00%","Counting 101","greedy","","","",""
"Aug. 10, 2024","864","98.38%","Minimize Equal Sum Subarrays","constructive algorithms","math","number theory","",""
"Aug. 10, 2024","898","98.03%","Find K Distinct Points with Fixed Center","constructive algorithms","implementation","math","",""
"Aug. 10, 2024","1857","16.63%","Perform Operations to Maximize Score","binary search","brute force","constructive algorithms","greedy","implementation"
"Aug. 10, 2024","2108","4.49%","Determine Winning Islands in Race","data structures","dp","graphs","greedy","shortest paths"
"Aug. 10, 2024","2235","2.21%","Eliminating Balls With Merging (Easy Version)","binary search","brute force","data structures","divide and conquer","greedy"
"Aug. 10, 2024","2633","0.23%","Eliminating Balls With Merging (Hard Version)","binary search","brute force","data structures","divide and conquer","greedy"
"Aug. 6, 2024","167","99.97%","A+B Again?","implementation","math","","",""
"Aug. 6, 2024","673","99.45%","Showering","greedy","implementation","","",""
"Aug. 6, 2024","903","97.98%","Card Game","brute force","constructive algorithms","implementation","",""
"Aug. 6, 2024","938","97.54%","Slavic's Exam","greedy","implementation","strings","",""
"Aug. 6, 2024","1298","83.29%","Triple Operations","dp","implementation","math","",""
"Aug. 6, 2024","1575","50.29%","Ruler (easy version)","binary search","interactive","","",""
"Aug. 6, 2024","1587","48.56%","Expected Median","combinatorics","math","","",""
"Aug. 6, 2024","1798","21.89%","Ruler (hard version)","binary search","interactive","ternary search","",""
"Aug. 4, 2024","338","99.92%","Question Marks","greedy","implementation","","",""
"Aug. 4, 2024","948","97.39%","Parity and Sum","constructive algorithms","greedy","","",""
"Aug. 4, 2024","1365","77.21%","Light Switches","implementation","math","","",""
"Aug. 4, 2024","2223","2.37%","Med-imize","binary search","dp","greedy","",""
"Aug. 4, 2024","2428","0.74%","Dyn-scripted Robot (Easy Version)","brute force","chinese remainder theorem","constructive algorithms","math","number theory"
"Aug. 4, 2024","2831","0.07%","Xor-Grid Problem","bitmasks","constructive algorithms","dp","implementation",""
"Aug. 4, 2024","2901","0.05%","Dyn-scripted Robot (Hard Version)","chinese remainder theorem","math","number theory","",""
"July 30, 2024","531","99.76%","Strong Password","brute force","implementation","strings","",""
"July 30, 2024","988","96.74%","Even Positions","constructive algorithms","data structures","greedy","",""
"July 30, 2024","1001","96.50%","Make Three Regions","constructive algorithms","two pointers","","",""
"July 30, 2024","1517","58.55%","Maximize the Root","binary search","dfs and similar","dp","greedy","trees"
"July 30, 2024","2241","2.14%","Level Up","binary search","brute force","data structures","divide and conquer","implementation"
"July 30, 2024","2644","0.21%","Chips on a Line","brute force","combinatorics","dp","greedy","math"
"July 28, 2024","415","99.88%","Maximize the Last Element","greedy","implementation","","",""
"July 28, 2024","956","97.27%","AND Reconstruction","bitmasks","constructive algorithms","greedy","",""
"July 28, 2024","1183","90.62%","Absolute Zero","constructive algorithms","greedy","math","",""
"July 28, 2024","1799","21.79%","Prime XOR Coloring","bitmasks","constructive algorithms","graphs","greedy","math"
"July 28, 2024","1893","13.95%","Coloring Game","constructive algorithms","dfs and similar","games","graphs","greedy"
"July 28, 2024","2219","2.42%","Triangle Formation","brute force","greedy","implementation","math","sortings"
"July 28, 2024","2808","0.08%","Grid Reset","constructive algorithms","greedy","implementation","",""
"July 28, 2024","3329","0.00%","Prime Split Game","bitmasks","dp","fft","games","math"
"July 28, 2024","4094","0.00%","Grid Game","constructive algorithms","games","graph matchings","greedy","interactive"
"July 26, 2024","200","99.96%","Legs","binary search","math","ternary search","",""
"July 26, 2024","618","99.60%","Scale","greedy","implementation","","",""
"July 26, 2024","1055","95.28%","Sort","dp","greedy","sortings","strings",""
"July 26, 2024","1378","75.87%","Fun","binary search","brute force","combinatorics","math","number theory"
"July 26, 2024","1598","46.98%","Decode","combinatorics","implementation","math","",""
"July 26, 2024","1979","9.00%","Bomb","binary search","greedy","math","",""