"id","dark","notice","notice 2","notice 3","notice 4","notice 5","ProblemRating","dark 3","tablescraper-selected-row","tablescraper-selected-row 2","right"
"","","","","","","","","","","",""
"2123G","Modular Sorting","暴力枚举（brute force）","数据结构（data structures）","贪心（greedy）","数学（math）","数论（number theory）","2100","x1270","","",""
"2123F","","构造（constructive algorithms）","数论（number theory）","","","","1700","","Minimize Fixed Points",",","x5100"
"2123E","MEX Count","二分（binary search）","数据结构（data structures）","贪心（greedy）","排序（sortings）","双指针（two pointers）","1400","x8135","","",""
"2123D","","构造（constructive algorithms）","博弈论（games）","贪心（greedy）","","","1200","","Binary String Battle",",
                        ,","x13126"
"2123C","Prefix Min and Suffix Max","暴力枚举（brute force）","数据结构（data structures）","","","","1000","x19784","","",""
"2123B","","贪心（greedy）","","","","","800","","Tournament","","x23101"
"2123A","Blackboard Game","数学（math）","","","","","800","x27747","","",""
"2121H","","二分（binary search）","暴力枚举（brute force）","数据结构（data structures）","动态规划（dp）","模拟（implementation）","2300","","Ice Baby",",
                        ,
                        ,
                        ,
                        ,","x1120"
"2121G","Gangsta","数据结构（data structures）","分治（divide and conquer）","数学（math）","排序（sortings）","","1900","x2828","","",""
"2121F","","二分（binary search）","暴力枚举（brute force）","数据结构（data structures）","贪心（greedy）","双指针（two pointers）","1800","","Yamakasi",",
                        ,
                        ,
                        ,","x4736"
"2121E","Sponsor of Your 问题s","动态规划（dp）","贪心（greedy）","模拟（implementation）","字符串处理（strings）","","1500","x9058","","",""
"2121D","","模拟（implementation）","排序（sortings）","","","","1300","","1709",",","x12581"
"2121C","Those 提交者 Are With Us","贪心（greedy）","贪心（greedy）","模拟（implementation）","","","1200","x15204","","",""
"2121B","","构造（constructive algorithms）","贪心（greedy）","字符串处理（strings）","","","800","","Above the Clouds",",
                        ,","x25579"
"2121A","Letter Home","暴力枚举（brute force）","数学（math）","","","","800","x30108","","",""
"2120G","","图论（graphs）","贪心（greedy）","数学（math）","","","3000","","Eulerian Line Graph",",
                        ,","x56"
"2120F","Superb Graphs","2-SAT（2-sat）","图论（graphs）","","","","2600","x181","","",""
"2120E","","二分（binary search）","动态规划（dp）","三分（ternary search）","","","2300","","Lanes of Cars",",
                        ,","x1100"
"2120D","Matrix game","组合数学（combinatorics）","数学（math）","","","","1800","x3820","","",""
"2120C","","构造（constructive algorithms）","贪心（greedy）","数学（math）","排序（sortings）","树形结构（trees）","1400","","Divine Tree",",
                        ,
                        ,
                        ,","x8269"
"2120B","Square Pool","计算几何（geometry）","","","","","1000","x12974","","",""
"2120A","","计算几何（geometry）","数学（math）","","","","800","","Square of Rectangles",",","x15335"
"2118F","Shifts and Swaps","数据结构（data structures）","图论（graphs）","哈希表（hashing）","树形结构（trees）","","3100","x153","","",""
"2118E","","构造（constructive algorithms）","计算几何（geometry）","贪心（greedy）","数学（math）","","2400","","Grid Coloring",",
                        ,
                        ,","x929"
"2118D2","Red Light, Green Light (Hard version)","二分（binary search）","暴力枚举（brute force）","数据结构（data structures）","DFS及其变种（dfs and similar）","动态规划（dp）","2200","x1576","","",""
"2118D1","","暴力枚举（brute force）","DFS及其变种（dfs and similar）","动态规划（dp）","图论（graphs）","模拟（implementation）","1700","","Red Light, Green Light (Easy version)",",
                        ,
                        ,
                        ,
                        ,","x5005"
"2118C","Make It Beautiful","状态压缩（bitmasks）","数据结构（data structures）","贪心（greedy）","数学（math）","","1300","x14142","","",""
"2118B","","构造（constructive algorithms）","","","","","1200","","Make It Permutation","","x15727"
"2118A","Equal Subsequences","构造（constructive algorithms）","贪心（greedy）","","","","800","x24349","","",""
"2117H","","数据结构（data structures）","分治（divide and conquer）","排序（sortings）","","","2500","","Incessant Rain",",
                        ,","x526"
"2117G","Omg Graph","暴力枚举（brute force）","并查集（dsu）","图论（graphs）","贪心（greedy）","最短路（shortest paths）","1900","x3133","","",""
"2117F","","组合数学（combinatorics）","DFS及其变种（dfs and similar）","树形结构（trees）","","","1800","","Wildflower",",
                        ,","x4082"
"2117E","Lost Soul","暴力枚举（brute force）","贪心（greedy）","","","","1600","x8536","","",""
"2117D","","二分（binary search）","数学（math）","数论（number theory）","","","1200","","Retaliation",",
                        ,","x16732"
"2117C","Cool Partition","数据结构（data structures）","贪心（greedy）","","","","1200","x16073","","",""
"2117B","","构造（constructive algorithms）","","","","","800","","Shrink","","x26495"
"2117A","False Alarm","贪心（greedy）","模拟（implementation）","","","","800","x30465","","",""
"2116B","","贪心（greedy）","数学（math）","排序（sortings）","","","1300","","Gellyfish and Baby's Breath",",
                        ,","x13864"
"2116A","Gellyfish and Tricolor Pansy","博弈论（games）","贪心（greedy）","","","","800","x22979","","",""
"2115F2","","数据结构（data structures）","","","","","3500","","Gellyfish and Lycoris Radiata (Hard Version)","","x43"
"2115F1","Gellyfish and Lycoris Radiata (Easy Version)","数据结构（data structures）","","","","","3500","x40","","",""
"2115E","","动态规划（dp）","图论（graphs）","","","","3500","","Gellyfish and Mayflower",",","x124"
"2115D","Gellyfish and Forget-Me-Not","状态压缩（bitmasks）","动态规划（dp）","博弈论（games）","贪心（greedy）","数学（math）","2900","x484","","",""
"2115C","","组合数学（combinatorics）","动态规划（dp）","贪心（greedy）","数学（math）","概率论（probabilities）","2700","","Gellyfish and Eternal Violet",",
                        ,
                        ,
                        ,","x553"
"2115B","Gellyfish and Camellia Japonica","暴力枚举（brute force）","构造（constructive algorithms）","DFS及其变种（dfs and similar）","动态规划（dp）","图论（graphs）","2100","x2689","","",""
"2115A","","构造（constructive algorithms）","动态规划（dp）","数学（math）","数论（number theory）","","1500","","Gellyfish and Flaming Peony",",
                        ,
                        ,","x10531"
"2114G","Build an Array","暴力枚举（brute force）","构造（constructive algorithms）","动态规划（dp）","贪心（greedy）","数学（math）","2200","x1402","","",""
"2114F","","二分（binary search）","暴力枚举（brute force）","DFS及其变种（dfs and similar）","动态规划（dp）","数学（math）","2000","","Small Operations",",
                        ,
                        ,
                        ,
                        ,
                        ,","x3881"
"2114E","Kirei Attacks the Estate","DFS及其变种（dfs and similar）","动态规划（dp）","贪心（greedy）","树形结构（trees）","","1400","x10198","","",""
"2114D","","暴力枚举（brute force）","贪心（greedy）","模拟（implementation）","数学（math）","","1400","","Come a Little Closer",",
                        ,
                        ,","x11486"
"2114C","Need More Arrays","动态规划（dp）","贪心（greedy）","","","","1000","x24699","","",""
"2114B","","贪心（greedy）","数学（math）","","","","900","","Not Quite a Palindromic String",",","x24819"
"2114A","Square Year","二分（binary search）","暴力枚举（brute force）","数学（math）","","","800","x34514","","",""
"2113F","","构造（constructive algorithms）","DFS及其变种（dfs and similar）","图论（graphs）","数学（math）","","2500","","Two Arrays",",
                        ,
                        ,","x517"
"2113E","From Kazan with Love","DFS及其变种（dfs and similar）","图论（graphs）","模拟（implementation）","树形结构（trees）","","2800","x221","","",""
"2113D","","二分（binary search）","构造（constructive algorithms）","贪心（greedy）","模拟（implementation）","","2200","","Cheater",",
                        ,
                        ,","x1778"
"2113C","Smilo and Minecraft","暴力枚举（brute force）","构造（constructive algorithms）","贪心（greedy）","","","1700","x5495","","",""
"2113B","","构造（constructive algorithms）","数学（math）","","","","1200","","Good Start",",","x10298"
"2113A","Shashliks","贪心（greedy）","数学（math）","","","","800","x15924","","",""
"2112F","","图论（graphs）","贪心（greedy）","最短路（shortest paths）","","","2800","","Variables and Operations",",
                        ,","x330"
"2112E","Tree Colorings","组合数学（combinatorics）","DFS及其变种（dfs and similar）","动态规划（dp）","图论（graphs）","数学（math）","2200","x1995","","",""
"2112D","","构造（constructive algorithms）","DFS及其变种（dfs and similar）","图论（graphs）","树形结构（trees）","","1700","","","","x6146"
"2112C","Coloring Game","二分（binary search）","暴力枚举（brute force）","贪心（greedy）","双指针（two pointers）","","1300","x12430","","",""
"2112B","","暴力枚举（brute force）","贪心（greedy）","","","","1100","","","","x15625"
"2112A","Race","模拟（implementation）","数学（math）","","","","800","x22576","","",""
"2111G","","二分（binary search）","状态压缩（bitmasks）","暴力枚举（brute force）","数据结构（data structures）","交互题（interactive）","2900","","Divisible Subarrays",",
                        ,
                        ,
                        ,","x236"
"2111F","Puzzle","暴力枚举（brute force）","构造（constructive algorithms）","贪心（greedy）","数学（math）","","2400","x1056","","",""
"2111E","","二分（binary search）","数据结构（data structures）","贪心（greedy）","模拟（implementation）","排序（sortings）","1900","","Changing the String",",
                        ,
                        ,
                        ,
                        ,","x4101"
"2111D","Creating a Schedule","构造（constructive algorithms）","数据结构（data structures）","贪心（greedy）","模拟（implementation）","排序（sortings）","1400","x9400","","",""
"2111C","","暴力枚举（brute force）","贪心（greedy）","双指针（two pointers）","","","1100","","","","x15251"
"2111B","Fibonacci Cubes","暴力枚举（brute force）","动态规划（dp）","模拟（implementation）","数学（math）","","1100","x14411","","",""
"2111A","","贪心（greedy）","模拟（implementation）","数学（math）","","","800","","","","x17961"
"2110F","Faculty","暴力枚举（brute force）","贪心（greedy）","数学（math）","数论（number theory）","","2400","x1323","","",""
"2110E","","DFS及其变种（dfs and similar）","图论（graphs）","模拟（implementation）","","","2300","","Melody",",
                        ,","x1615"
"2110D","Fewer Batteries","二分（binary search）","DFS及其变种（dfs and similar）","动态规划（dp）","图论（graphs）","贪心（greedy）","1700","x6246","","",""
"2110C","","构造（constructive algorithms）","贪心（greedy）","","","","1400","","","","x12217"
"2110B","Down with Brackets","字符串处理（strings）","","","","","900","x21392","","",""
"2110A","","模拟（implementation）","排序（sortings）","","","","800","","","","x24968"
"2109F","Penguin Steps","二分（binary search）","DFS及其变种（dfs and similar）","流（flows）","图论（graphs）","最短路（shortest paths）","3000","x178","","",""
"2109E","","组合数学（combinatorics）","动态规划（dp）","字符串处理（strings）","","","2400","","Binary String Wowee",",
                        ,","x1026"
"2109D","D/D/D","DFS及其变种（dfs and similar）","图论（graphs）","贪心（greedy）","最短路（shortest paths）","","1900","x3927","","",""
"2109C3","","构造（constructive algorithms）","交互题（interactive）","数学（math）","数论（number theory）","","2600","","Hacking Numbers (Hard Version)",",
                        ,
                        ,","x2461"
"2109C2","Hacking Numbers (Medium Version)","构造（constructive algorithms）","交互题（interactive）","数学（math）","数论（number theory）","","1700","x6808","","",""
"2109C1","","状态压缩（bitmasks）","构造（constructive algorithms）","交互题（interactive）","数学（math）","数论（number theory）","1500","","Hacking Numbers (Easy Version)",",
                        ,
                        ,
                        ,","x8942"
"2109B","Slice to Survive","状态压缩（bitmasks）","贪心（greedy）","数学（math）","","","1200","x14406","","",""
"2109A","","模拟（implementation）","","","","","800","","It's 时间 To Duel","","x23214"
"2108F","Fallen Towers","二分（binary search）","贪心（greedy）","","","","2900","x356","","",""
"2108E","","构造（constructive algorithms）","DFS及其变种（dfs and similar）","图论（graphs）","贪心（greedy）","模拟（implementation）","2600","","Spruce Dispute",",
                        ,
                        ,
                        ,
                        ,
                        ,","x566"
"2108D","Needle in a Numstack","二分（binary search）","暴力枚举（brute force）","模拟（implementation）","交互题（interactive）","","2200","x1955","","",""
"2108C","","二分（binary search）","暴力枚举（brute force）","数据结构（data structures）","动态规划（dp）","并查集（dsu）","1500","","","","x11241"
"2108B","SUMdamental Decomposition","状态压缩（bitmasks）","构造（constructive algorithms）","贪心（greedy）","模拟（implementation）","数学（math）","1300","x11962","","",""
"2108A","","组合数学（combinatorics）","贪心（greedy）","数学（math）","","","800","","Permutation Warm-Up",",
                        ,","x19273"
"2107F2","Cycling (Hard Version)","二分（binary search）","暴力枚举（brute force）","数据结构（data structures）","动态规划（dp）","贪心（greedy）","2800","x319","","",""
"2107F1","","二分（binary search）","暴力枚举（brute force）","动态规划（dp）","贪心（greedy）","","2300","","Cycling (Easy Version)",",
                        ,
                        ,","x1385"
"2107E","Ain and Apple Tree","二分（binary search）","构造（constructive algorithms）","贪心（greedy）","数学（math）","树形结构（trees）","2600","x605","","",""
"2107D","","暴力枚举（brute force）","DFS及其变种（dfs and similar）","贪心（greedy）","模拟（implementation）","树形结构（trees）","2100","","Apple Tree Traversing",",
                        ,
                        ,
                        ,","x2824"
"2107C","Maximum Subarray Sum","二分（binary search）","构造（constructive algorithms）","动态规划（dp）","模拟（implementation）","数学（math）","1500","x9255","","",""
"2107B","","博弈论（games）","贪心（greedy）","数学（math）","","","1100","","Apples in Boxes",",
                        ,","x16362"
"2107A","LRC and VIP","贪心（greedy）","数论（number theory）","","","","800","x19341","","",""
"2106G2","","二分（binary search）","DFS及其变种（dfs and similar）","分治（divide and conquer）","模拟（implementation）","交互题（interactive）","2500","","","",""
"2106G1","Baudelaire (easy version)","binary search","constructive algorithms","divide and conquer","greedy","interactive","2200","x1285","","",""
"2106F","","dfs and similar","dp","dsu","greedy","math","1900","","Goblin",",
                        ,
                        ,
                        ,","x3349"
"2106E","Wolf","binary search","greedy","math","","","1800","x4733","","",""
"2106D","","binary search","dp","greedy","two pointers","","1500","","Flower Boy",",
                        ,
                        ,","x9601"
"2106C","Cherry Bomb","greedy","math","sortings","","","1000","x20944","","",""
"2106B","","constructive algorithms","greedy","math","","","900","","St. Chroma",",
                        ,","x23714"
"2106A","Dr. TC","brute force","math","","","","800","x31199","","",""
"2104G","","data structures","divide and conquer","dsu","graphs","trees","2700","","Modulo 3",",
                        ,
                        ,
                        ,","x347"
"2104F","Numbers and Strings","binary search","brute force","dfs and similar","dp","implementation","2600","x542","","",""
"2104E","","binary search","dp","greedy","strings","","1700","","Unpleasant Strings",",
                        ,
                        ,","x6309"
"2104D","Array and GCD","binary search","greedy","math","number theory","","1400","x10456","","",""
"2104C","","brute force","constructive algorithms","games","greedy","math","1100","","Card Game",",
                        ,
                        ,
                        ,","x14470"
"2104B","Move to the End","brute force","data structures","dp","greedy","implementation","1000","x16713","","",""
"2104A","","math","","","","","800","","Three Decks","","x21825"
"2103F","Maximize Nor","bitmasks","data structures","dp","implementation","sortings","2600","x479","","",""
"2103E","","constructive algorithms","implementation","two pointers","","","2600","","Keep the Sum",",
                        ,","x437"
"2103D","Local Construction","constructive algorithms","dfs and similar","implementation","two pointers","","2000","x3210","","",""
"2103C","","binary search","greedy","implementation","sortings","","1600","","Median Splits",",
                        ,
                        ,","x8541"
"2103B","Binary Typewriter","greedy","math","","","","1100","x15141","","",""
"2103A","","brute force","greedy","implementation","math","","800","","Common Multiple",",
                        ,
                        ,","x22015"
"2102B","The Picky Cat","implementation","sortings","","","","900","x16139","","",""
"2102A","","constructive algorithms","math","","","","900","","Dinner Time",",","x17541"
"2101F","Shoo Shatters the Sunshine","combinatorics","dp","trees","","","3300","x90","","",""
"2101E","","data structures","dp","greedy","trees","","3100","","Kia Bakes a Cake",",
                        ,
                        ,","x176"
"2101D","Mani and Segments","data structures","implementation","sortings","two pointers","","2500","x719","","",""
"2101C","","binary search","brute force","data structures","greedy","ternary search","2200","","23 Kingdom",",
                        ,
                        ,
                        ,
                        ,","x1676"
"2101B","Quartet Swapping","brute force","data structures","divide and conquer","greedy","sortings","1800","x5402","","",""
"2101A","","constructive algorithms","implementation","","","","1300","","Mex in the Grid",",","x11198"
"2098B","Sasha and the Apartment Purchase","math","sortings","","","","1400","x6047","","",""
"2098A","","brute force","greedy","","","","800","","Vadim's Collection",",","x12268"
"2097F","Lost Luggage","dp","flows","","","","3500","x75","","",""
"2097E","","data structures","dfs and similar","dp","greedy","","3100","","Clearing the Snowdrift",",
                        ,
                        ,","x144"
"2097D","Homework","bitmasks","math","matrices","","","2800","x357","","",""
"2097C","","chinese remainder theorem","geometry","implementation","math","number theory","2400","","Bermuda Triangle",",
                        ,
                        ,
                        ,","x731"
"2097B","Baggage Claim","combinatorics","dfs and similar","dp","dsu","graphs","2300","x1400","","",""
"2097A","","2-sat","brute force","math","sortings","","1400","","Sports Betting",",
                        ,
                        ,","x6536"
"2096H","Wonderful XOR Problem","bitmasks","combinatorics","dp","fft","math","3200","x121","","",""
"2096G","","bitmasks","constructive algorithms","interactive","","","3200","","Wonderful Guessing Game",",
                        ,","x281"
"2096F","Wonderful Impostors","data structures","implementation","two pointers","","","3100","x343","","",""
"2096E","","greedy","implementation","sortings","","","2400","","Wonderful Teddy Bears",",
                        ,","x1690"
"2096D","Wonderful Lightbulbs","combinatorics","constructive algorithms","math","","","2000","x4547","","",""
"2096C","","dp","implementation","","","","1700","","Wonderful City",",","x6432"
"2096B","Wonderful Gloves","greedy","math","sortings","","","1100","x14348","","",""
"2096A","","constructive algorithms","greedy","","","","800","","Wonderful Sticks",",","x18621"
"2095J","Premiere at a Wrong Time","*special problem","","","","","","x415","","",""
"2095I","","*special problem","expression parsing","number theory","","","","","Mysterious Script",",
                        ,","x573"
"2095H","Blurry Vision","*special problem","fft","math","","","","x693","","",""
"2095G","","*special problem","geometry","","","","","","Definitely a Geometry Problem",",","x856"
"2095F","⅓ оf а Рrоblеm","*special problem","math","","","","","x667","","",""
"2095E","","*special problem","number theory","","","","","","Pair Count",",","x686"
"2095D","Where Am I?","*special problem","geometry","","","","","x4707","","",""
"2095C","","*special problem","binary search","brute force","","","","","Would It Be Unrated?",",
                        ,","x2958"
"2095B","Plinko","*special problem","games","interactive","","","","x5056","","",""
"2095A","","*special problem","string suffix structures","","","","","","Piecing It Together",",","x12099"
"2094H","La Vaca Saturno Saturnita","binary search","brute force","math","number theory","","1900","x2890","","",""
"2094G","","data structures","implementation","math","","","1700","","Chimpanzini Bananini",",
                        ,","x5959"
"2094F","Trulimero Trulicina","constructive algorithms","","","","","1600","x8745","","",""
"2094E","","bitmasks","","","","","1200","","Boneca Ambalabu","","x14930"
"2094D","Tung Tung Sahur","greedy","strings","two pointers","","","1100","x18801","","",""
"2094C","","math","","","","","900","","Brr Brrr Patapim","","x24544"
"2094B","Bobritto Bandito","brute force","constructive algorithms","","","","800","x27101","","",""
"2094A","","strings","","","","","800","","Trippi Troppi","","x41414"
"2093G","Shorten the Array","binary search","bitmasks","data structures","dfs and similar","greedy","1900","x2807","","",""
"2093F","","bitmasks","brute force","greedy","","","1800","","Hackers and Neural Networks",",
                        ,","x5009"
"2093E","Min Max MEX","binary search","brute force","greedy","","","1500","x10957","","",""
"2093D","","bitmasks","implementation","","","","1400","","Skibidi Table",",","x10549"
"2093C","Simple Repetition","math","number theory","","","","1000","x25924","","",""
"2093B","","greedy","math","","","","900","","Expensive Number",",","x26312"
"2093A","Ideal Generator","math","","","","","800","x35178","","",""
"2092F","","brute force","constructive algorithms","greedy","math","number theory","2900","","Andryusha and CCB",",
                        ,
                        ,
                        ,
                        ,","x324"
"2092E","She knows...","combinatorics","constructive algorithms","graphs","math","","2100","x3012","","",""
"2092D","","brute force","constructive algorithms","greedy","implementation","strings","1800","","Mishkin Energizer",",
                        ,
                        ,
                        ,","x5719"
"2092C","Asuna and the Mosquitoes","constructive algorithms","greedy","math","","","1200","x19208","","",""
"2092B","","brute force","constructive algorithms","implementation","math","","1000","","Lady Bug",",
                        ,
                        ,","x21129"
"2092A","Kamilka and the Sheep","greedy","math","number theory","sortings","","800","x25709","","",""
"2091G","","brute force","constructive algorithms","data structures","dp","graphs","2300","","Gleb and Boating",",
                        ,
                        ,
                        ,
                        ,
                        ,
                        ,
                        ,","x1256"
"2091F","Igor and Mountain","binary search","brute force","dp","","","1800","x5199","","",""
"2091E","","brute force","math","number theory","two pointers","","1300","","Interesting Ratio",",
                        ,
                        ,","x16656"
"2091D","Place of the Olympiad","binary search","greedy","math","","","1200","x19977","","",""
"2091C","","constructive algorithms","greedy","","","","1000","","Combination Lock",",","x24813"
"2091B","Team Training","dp","greedy","sortings","","","800","x29132","","",""
"2091A","","greedy","strings","","","","800","","Olympiad Date",",","x35058"
"2090C","Dining Hall","data structures","greedy","implementation","sortings","","1700","x5213","","",""
"2090B","","brute force","dp","implementation","","","1000","","Pushing Balls",",
                        ,","x13870"
"2090A","Treasure Hunt","implementation","math","","","","800","x18409","","",""
"2089E","","","","","","","3500","","Black Cat Collapse","","x92"
"2089D","Conditional Operators","constructive algorithms","","","","","3200","x131","","",""
"2089C2","","dp","math","probabilities","","","3100","","Key of Like (Hard Version)",",
                        ,","x182"
"2089C1","Key of Like (Easy Version)","dp","games","math","probabilities","","2200","x1060","","",""
"2089B2","","binary search","data structures","dp","flows","greedy","2300","","Canteen (Hard Version)",",
                        ,
                        ,
                        ,
                        ,","x1010"
"2089B1","Canteen (Easy Version)","binary search","data structures","flows","greedy","two pointers","1900","x2447","","",""
"2089A","","constructive algorithms","number theory","","","","1700","","Simple Permutation",",","x5826"
"2087I","Hamiltonian Partition","*special problem","*special problem","","","","","x15","","",""
"2087H","","*special problem","*special problem","","","","","","Nim with Special Numbers",",","x18"
"2087G","Esports in Berland","*special problem","*special problem","greedy","greedy","","","x78","","",""
